# ground truth for desk_fast1.synced
# timestamp tx ty tz qx qy qz qw
1642649998.932984 -0.197300 1.386720 0.602175 -0.237537 -0.194276 -0.070109 -0.949167
1642649998.941317 -0.197287 1.386713 0.602145 -0.237539 -0.194311 -0.070099 -0.949160
1642649998.949650 -0.197261 1.386704 0.602125 -0.237519 -0.194343 -0.070100 -0.949158
1642649998.957984 -0.197233 1.386692 0.602100 -0.237573 -0.194337 -0.070112 -0.949145
1642649998.966317 -0.197200 1.386673 0.602088 -0.237557 -0.194345 -0.070117 -0.949147
1642649998.974650 -0.197165 1.386659 0.602076 -0.237603 -0.194395 -0.070113 -0.949126
1642649998.982984 -0.197130 1.386649 0.602064 -0.237623 -0.194411 -0.070037 -0.949123
1642649998.991317 -0.197080 1.386636 0.602063 -0.237740 -0.194459 -0.070065 -0.949082
1642649998.999650 -0.197030 1.386617 0.602058 -0.237718 -0.194538 -0.069951 -0.949080
1642649999.007984 -0.196977 1.386604 0.602058 -0.237764 -0.194519 -0.069918 -0.949074
1642649999.016317 -0.196930 1.386588 0.602054 -0.237824 -0.194468 -0.069874 -0.949073
1642649999.024650 -0.196869 1.386576 0.602064 -0.237861 -0.194503 -0.069853 -0.949058
1642649999.032984 -0.196805 1.386571 0.602057 -0.237866 -0.194506 -0.069783 -0.949062
1642649999.041317 -0.196742 1.386560 0.602058 -0.237882 -0.194538 -0.069646 -0.949061
1642649999.049650 -0.196677 1.386558 0.602049 -0.237931 -0.194554 -0.069636 -0.949046
1642649999.057984 -0.196606 1.386556 0.602040 -0.237984 -0.194590 -0.069548 -0.949032
1642649999.066317 -0.196530 1.386548 0.602027 -0.238004 -0.194563 -0.069523 -0.949034
1642649999.074650 -0.196454 1.386546 0.602009 -0.238019 -0.194686 -0.069439 -0.949011
1642649999.082984 -0.196371 1.386542 0.601989 -0.238049 -0.194775 -0.069375 -0.948990
1642649999.091317 -0.196293 1.386546 0.601971 -0.238039 -0.194764 -0.069339 -0.948998
1642649999.099650 -0.196182 1.386499 0.601926 -0.237975 -0.195348 -0.068741 -0.948937
1642649999.107984 -0.196126 1.386555 0.601926 -0.238017 -0.195006 -0.069135 -0.948968
1642649999.116317 -0.196036 1.386562 0.601892 -0.238016 -0.195085 -0.069082 -0.948956
1642649999.124650 -0.195945 1.386570 0.601871 -0.237972 -0.195271 -0.069012 -0.948934
1642649999.132984 -0.195854 1.386580 0.601852 -0.237969 -0.195301 -0.069008 -0.948929
1642649999.141317 -0.195768 1.386585 0.601825 -0.237993 -0.195458 -0.068860 -0.948901
1642649999.149650 -0.195666 1.386599 0.601808 -0.237996 -0.195567 -0.068820 -0.948881
1642649999.157984 -0.195570 1.386606 0.601789 -0.237975 -0.195653 -0.068816 -0.948869
1642649999.166317 -0.195477 1.386616 0.601772 -0.237967 -0.195752 -0.068737 -0.948856
1642649999.174650 -0.195378 1.386619 0.601758 -0.237931 -0.195927 -0.068691 -0.948833
1642649999.182984 -0.195285 1.386625 0.601745 -0.237971 -0.196028 -0.068655 -0.948804
1642649999.191317 -0.195165 1.386625 0.601747 -0.237994 -0.196076 -0.068620 -0.948791
1642649999.199650 -0.195067 1.386622 0.601739 -0.237979 -0.196169 -0.068606 -0.948777
1642649999.207984 -0.194959 1.386615 0.601743 -0.237979 -0.196376 -0.068537 -0.948739
1642649999.216317 -0.194854 1.386607 0.601748 -0.238009 -0.196555 -0.068509 -0.948696
1642649999.224650 -0.194751 1.386592 0.601751 -0.238020 -0.196651 -0.068570 -0.948669
1642649999.232984 -0.194650 1.386574 0.601763 -0.238041 -0.196930 -0.068524 -0.948609
1642649999.241317 -0.194555 1.386546 0.601781 -0.238103 -0.197112 -0.068517 -0.948556
1642649999.249650 -0.194461 1.386513 0.601810 -0.238088 -0.197271 -0.068547 -0.948525
1642649999.257984 -0.194365 1.386469 0.601837 -0.238192 -0.197564 -0.068531 -0.948439
1642649999.266317 -0.194199 1.386382 0.601863 -0.238322 -0.198518 -0.068106 -0.948238
1642649999.274650 -0.194168 1.386346 0.601927 -0.238343 -0.198127 -0.068684 -0.948273
1642649999.282984 -0.194000 1.386248 0.601967 -0.238462 -0.199048 -0.068277 -0.948079
1642649999.291317 -0.193897 1.386172 0.602029 -0.238477 -0.199376 -0.068410 -0.947997
1642649999.299650 -0.193797 1.386087 0.602103 -0.238607 -0.199793 -0.068463 -0.947873
1642649999.307984 -0.193702 1.386002 0.602176 -0.238674 -0.200196 -0.068543 -0.947765
