# ground truth for hdr_fast1.synced
# timestamp tx ty tz qx qy qz qw
1642689802.849168 0.012825 1.324546 0.485285 -0.008578 0.513286 -0.292058 -0.806948
1642689802.857501 0.012810 1.324544 0.485223 -0.008579 0.513341 -0.292065 -0.806911
1642689802.865834 0.012796 1.324540 0.485155 -0.008557 0.513383 -0.292065 -0.806885
1642689802.874168 0.012789 1.324531 0.485087 -0.008528 0.513419 -0.292046 -0.806869
1642689802.882501 0.012773 1.324533 0.485020 -0.008508 0.513512 -0.292112 -0.806786
1642689802.890835 0.012762 1.324524 0.484942 -0.008458 0.513526 -0.292059 -0.806797
1642689802.899168 0.012752 1.324520 0.484867 -0.008391 0.513582 -0.292053 -0.806764
1642689802.907501 0.012739 1.324516 0.484789 -0.008298 0.513600 -0.292072 -0.806746
1642689802.915834 0.012726 1.324517 0.484711 -0.008222 0.513623 -0.292083 -0.806729
1642689802.924168 0.012715 1.324517 0.484630 -0.008222 0.513610 -0.292085 -0.806736
1642689802.932501 0.012696 1.324528 0.484556 -0.008132 0.513551 -0.292109 -0.806766
1642689802.940835 0.012679 1.324519 0.484482 -0.008063 0.513563 -0.292101 -0.806762
1642689802.949168 0.012653 1.324531 0.484407 -0.007972 0.513555 -0.292082 -0.806775
1642689802.957501 0.012651 1.324497 0.484326 -0.007804 0.513722 -0.292204 -0.806626
1642689802.965834 0.012595 1.324521 0.484265 -0.007836 0.513619 -0.292157 -0.806709
1642689802.974168 0.012556 1.324518 0.484199 -0.007839 0.513529 -0.292143 -0.806771
1642689802.982501 0.012509 1.324514 0.484134 -0.007734 0.513547 -0.292116 -0.806770
1642689802.990834 0.012472 1.324502 0.484072 -0.007747 0.513548 -0.292162 -0.806752
1642689802.999168 0.012423 1.324489 0.484010 -0.007703 0.513592 -0.292187 -0.806716
1642689803.007501 0.012386 1.324480 0.483950 -0.007671 0.513698 -0.292217 -0.806638
1642689803.015835 0.012340 1.324462 0.483892 -0.007677 0.513685 -0.292230 -0.806641
1642689803.024168 0.012287 1.324455 0.483839 -0.007637 0.513761 -0.292221 -0.806596
1642689803.032501 0.012241 1.324445 0.483788 -0.007644 0.513733 -0.292216 -0.806616
1642689803.040834 0.012204 1.324432 0.483738 -0.007623 0.513811 -0.292258 -0.806552
