# ground truth for hdr_normal1.synced
# timestamp tx ty tz qx qy qz qw
1642689268.899930 0.123826 1.324664 1.026611 -0.158264 0.211248 -0.227823 -0.937243
1642689268.908264 0.123836 1.324574 1.026514 -0.158042 0.211530 -0.228092 -0.937151
1642689268.916597 0.123797 1.324595 1.026483 -0.158052 0.211359 -0.228083 -0.937190
1642689268.924931 0.123752 1.324604 1.026434 -0.158037 0.211112 -0.228068 -0.937252
1642689268.933264 0.123692 1.324622 1.026384 -0.157988 0.210969 -0.228075 -0.937291
1642689268.941597 0.123631 1.324622 1.026326 -0.157985 0.210921 -0.228135 -0.937287
1642689268.949930 0.123513 1.324732 1.026319 -0.158099 0.210415 -0.227890 -0.937441
1642689268.958264 0.123434 1.324717 1.026229 -0.158035 0.210276 -0.227913 -0.937478
1642689268.966597 0.123387 1.324585 1.026077 -0.157786 0.210699 -0.228233 -0.937347
1642689268.974931 0.123296 1.324563 1.025976 -0.157766 0.210511 -0.228280 -0.937381
1642689268.983264 0.123162 1.324654 1.025936 -0.157857 0.210070 -0.228137 -0.937499
1642689268.991597 0.123078 1.324619 1.025832 -0.157757 0.210122 -0.228277 -0.937470
1642689268.999930 0.122978 1.324594 1.025727 -0.157665 0.210094 -0.228405 -0.937461
1642689269.008264 0.122933 1.324437 1.025546 -0.157389 0.210495 -0.228842 -0.937311
1642689269.016597 0.122843 1.324403 1.025442 -0.157301 0.210474 -0.228903 -0.937316
1642689269.024930 0.122771 1.324371 1.025340 -0.157214 0.210437 -0.229016 -0.937311
1642689269.033264 0.122700 1.324339 1.025236 -0.157161 0.210390 -0.229112 -0.937307
1642689269.041597 0.122599 1.324424 1.025198 -0.157280 0.209845 -0.228880 -0.937466
1642689269.049931 0.122590 1.324299 1.025042 -0.157068 0.210154 -0.229238 -0.937345
1642689269.058264 0.122508 1.324400 1.025014 -0.157127 0.209668 -0.228989 -0.937504
1642689269.066597 0.122487 1.324396 1.024933 -0.157096 0.209643 -0.229073 -0.937495
1642689269.074930 0.122482 1.324389 1.024845 -0.157013 0.209610 -0.229086 -0.937513
1642689269.083264 0.122488 1.324396 1.024766 -0.156965 0.209541 -0.229044 -0.937547
1642689269.091597 0.122515 1.324404 1.024682 -0.156908 0.209483 -0.229003 -0.937579
1642689269.099931 0.122555 1.324427 1.024601 -0.156906 0.209470 -0.229019 -0.937579
1642689269.108264 0.122614 1.324445 1.024524 -0.156842 0.209489 -0.229021 -0.937584
1642689269.116597 0.122685 1.324470 1.024439 -0.156762 0.209531 -0.228946 -0.937607
1642689269.124930 0.122774 1.324502 1.024354 -0.156703 0.209496 -0.228779 -0.937665
1642689269.133264 0.122911 1.324496 1.024223 -0.156112 0.210221 -0.229020 -0.937543
