# ground truth for corner_slow1.synced
# timestamp tx ty tz qx qy qz qw
1642644846.995023 1.319390 0.985664 0.286684 -0.021242 -0.521269 -0.000649 -0.853128
1642644847.003356 1.319391 0.985669 0.286682 -0.021259 -0.521352 -0.000571 -0.853077
1642644847.011689 1.319387 0.985667 0.286688 -0.021260 -0.521258 -0.000698 -0.853134
1642644847.020023 1.319393 0.985676 0.286686 -0.021239 -0.521338 -0.000613 -0.853086
1642644847.028356 1.319390 0.985664 0.286684 -0.021251 -0.521356 -0.000591 -0.853074
1642644847.036689 1.319362 0.985612 0.286712 -0.021372 -0.521016 -0.000983 -0.853279
1642644847.045022 1.319363 0.985614 0.286714 -0.021356 -0.520902 -0.001037 -0.853349
1642644847.053356 1.319386 0.985660 0.286691 -0.021234 -0.521262 -0.000643 -0.853132
1642644847.061689 1.319358 0.985609 0.286706 -0.021381 -0.521021 -0.000913 -0.853276
1642644847.070023 1.319386 0.985673 0.286686 -0.021195 -0.521252 -0.000628 -0.853140
1642644847.078356 1.319382 0.985673 0.286678 -0.021216 -0.521342 -0.000573 -0.853084
1642644847.086689 1.319374 0.985670 0.286682 -0.021189 -0.521221 -0.000691 -0.853159
1642644847.095022 1.319350 0.985619 0.286711 -0.021283 -0.520983 -0.000999 -0.853301
1642644847.103356 1.319368 0.985662 0.286683 -0.021215 -0.521282 -0.000654 -0.853120
1642644847.111689 1.319353 0.985617 0.286705 -0.021251 -0.520949 -0.001021 -0.853323
1642644847.120023 1.319350 0.985612 0.286707 -0.021288 -0.520976 -0.001012 -0.853306
1642644847.128356 1.319356 0.985617 0.286706 -0.021297 -0.521012 -0.000997 -0.853283
1642644847.136689 1.319383 0.985668 0.286683 -0.021155 -0.521321 -0.000565 -0.853098
1642644847.145023 1.319377 0.985667 0.286682 -0.021219 -0.521289 -0.000636 -0.853116
1642644847.153356 1.319365 0.985622 0.286718 -0.021328 -0.520975 -0.000999 -0.853305
1642644847.161689 1.319391 0.985669 0.286691 -0.021217 -0.521301 -0.000595 -0.853109
1642644847.170022 1.319393 0.985660 0.286689 -0.021219 -0.521288 -0.000634 -0.853117
1642644847.178356 1.319371 0.985605 0.286717 -0.021356 -0.520925 -0.001025 -0.853335
1642644847.186689 1.319393 0.985662 0.286685 -0.021235 -0.521252 -0.000618 -0.853138
1642644847.195023 1.319394 0.985665 0.286682 -0.021298 -0.521237 -0.000666 -0.853146
1642644847.203356 1.319389 0.985669 0.286686 -0.021236 -0.521231 -0.000692 -0.853151
1642644847.211689 1.319363 0.985617 0.286712 -0.021283 -0.521039 -0.000997 -0.853267
1642644847.220022 1.319368 0.985621 0.286703 -0.021337 -0.521033 -0.000955 -0.853269
1642644847.228356 1.319388 0.985665 0.286681 -0.021204 -0.521332 -0.000601 -0.853090
1642644847.236689 1.319359 0.985615 0.286707 -0.021283 -0.520996 -0.001021 -0.853293
1642644847.245023 1.319387 0.985667 0.286675 -0.021166 -0.521319 -0.000682 -0.853099
1642644847.253356 1.319392 0.985674 0.286678 -0.021187 -0.521351 -0.000616 -0.853079
1642644847.261689 1.319364 0.985622 0.286712 -0.021281 -0.520972 -0.001019 -0.853308
1642644847.270023 1.319384 0.985664 0.286690 -0.021172 -0.521312 -0.000663 -0.853103
1642644847.278356 1.319385 0.985673 0.286681 -0.021176 -0.521301 -0.000635 -0.853110
1642644847.286689 1.319386 0.985667 0.286687 -0.021203 -0.521299 -0.000662 -0.853110
1642644847.295022 1.319384 0.985665 0.286677 -0.021245 -0.521336 -0.000626 -0.853087
1642644847.303356 1.319384 0.985673 0.286681 -0.021166 -0.521337 -0.000639 -0.853088
1642644847.311689 1.319388 0.985664 0.286678 -0.021190 -0.521404 -0.000603 -0.853047
1642644847.320023 1.319358 0.985619 0.286707 -0.021261 -0.521023 -0.001045 -0.853277
1642644847.328356 1.319357 0.985619 0.286705 -0.021246 -0.521058 -0.001027 -0.853256
1642644847.336689 1.319381 0.985667 0.286675 -0.021137 -0.521353 -0.000638 -0.853079
1642644847.345022 1.319381 0.985672 0.286679 -0.021146 -0.521384 -0.000694 -0.853060
1642644847.353356 1.319359 0.985623 0.286702 -0.021200 -0.521079 -0.001020 -0.853245
