# ground truth for robot_fast1.synced
# timestamp tx ty tz qx qy qz qw
1642661812.831115 0.446193 1.425290 1.361355 -0.232591 -0.169659 -0.049738 -0.956370
1642661812.839448 0.446197 1.425269 1.361359 -0.232615 -0.169754 -0.049653 -0.956352
1642661812.847781 0.446207 1.425245 1.361369 -0.232631 -0.169621 -0.049673 -0.956370
1642661812.856115 0.446212 1.425225 1.361380 -0.232627 -0.169553 -0.049652 -0.956384
1642661812.864448 0.446215 1.425196 1.361389 -0.232677 -0.169552 -0.049682 -0.956371
1642661812.872782 0.446225 1.425170 1.361403 -0.232692 -0.169504 -0.049727 -0.956373
1642661812.881115 0.446230 1.425130 1.361423 -0.232721 -0.169525 -0.049688 -0.956365
1642661812.889448 0.446237 1.425099 1.361449 -0.232753 -0.169457 -0.049752 -0.956366
1642661812.897781 0.446249 1.425052 1.361472 -0.232827 -0.169409 -0.049724 -0.956358
1642661812.906115 0.446256 1.425011 1.361496 -0.232904 -0.169557 -0.049676 -0.956315
1642661812.914448 0.446255 1.424976 1.361528 -0.232987 -0.169554 -0.049675 -0.956295
1642661812.922781 0.446255 1.424935 1.361560 -0.233038 -0.169559 -0.049753 -0.956278
1642661812.931115 0.446249 1.424897 1.361588 -0.233095 -0.169477 -0.049734 -0.956280
1642661812.939448 0.446235 1.424865 1.361619 -0.233123 -0.169464 -0.049707 -0.956277
1642661812.947781 0.446223 1.424823 1.361651 -0.233135 -0.169410 -0.049723 -0.956282
1642661812.956115 0.446206 1.424784 1.361675 -0.233185 -0.169352 -0.049756 -0.956279
1642661812.964448 0.446191 1.424756 1.361708 -0.233220 -0.169343 -0.049723 -0.956273
1642661812.972781 0.446172 1.424723 1.361739 -0.233267 -0.169258 -0.049749 -0.956276
1642661812.981115 0.446158 1.424690 1.361772 -0.233306 -0.169179 -0.049821 -0.956277
1642661812.989448 0.446147 1.424662 1.361810 -0.233324 -0.169097 -0.049805 -0.956288
1642661812.997782 0.446133 1.424637 1.361844 -0.233394 -0.169032 -0.049815 -0.956281
1642661813.006115 0.446124 1.424611 1.361883 -0.233433 -0.168975 -0.049876 -0.956279
1642661813.014448 0.446112 1.424578 1.361921 -0.233470 -0.168924 -0.049791 -0.956283
1642661813.022781 0.446103 1.424551 1.361960 -0.233515 -0.168843 -0.049841 -0.956284
1642661813.031115 0.446092 1.424523 1.361993 -0.233571 -0.168840 -0.049776 -0.956274
1642661813.039448 0.446082 1.424487 1.362029 -0.233585 -0.168815 -0.049729 -0.956277
1642661813.047781 0.446078 1.424451 1.362063 -0.233645 -0.168809 -0.049788 -0.956261
1642661813.056115 0.446067 1.424415 1.362095 -0.233661 -0.168690 -0.049762 -0.956279
1642661813.064448 0.446060 1.424378 1.362127 -0.233693 -0.168649 -0.049770 -0.956278
1642661813.072781 0.446062 1.424352 1.362162 -0.233778 -0.168683 -0.049779 -0.956251
1642661813.081115 0.446065 1.424307 1.362200 -0.233777 -0.168691 -0.049795 -0.956249
1642661813.089448 0.446065 1.424270 1.362238 -0.233884 -0.168699 -0.049804 -0.956221
1642661813.097781 0.446079 1.424229 1.362280 -0.233956 -0.168708 -0.049814 -0.956201
1642661813.106115 0.446088 1.424197 1.362325 -0.233997 -0.168670 -0.049796 -0.956199
1642661813.114448 0.446100 1.424165 1.362364 -0.234055 -0.168717 -0.049808 -0.956176
1642661813.122782 0.446114 1.424127 1.362407 -0.234135 -0.168674 -0.049797 -0.956164
1642661813.131115 0.446131 1.424084 1.362442 -0.234163 -0.168690 -0.049829 -0.956153
1642661813.139448 0.446147 1.424054 1.362481 -0.234233 -0.168656 -0.049828 -0.956142
1642661813.147781 0.446172 1.424016 1.362522 -0.234237 -0.168590 -0.049808 -0.956154
1642661813.156115 0.446201 1.423993 1.362569 -0.234265 -0.168663 -0.049727 -0.956138
1642661813.164448 0.446238 1.423957 1.362615 -0.234335 -0.168663 -0.049720 -0.956121
1642661813.172781 0.446287 1.423921 1.362663 -0.234389 -0.168710 -0.049739 -0.956099
1642661813.181115 0.446346 1.423847 1.362678 -0.234502 -0.168802 -0.049550 -0.956065
1642661813.189448 0.446400 1.423814 1.362734 -0.234510 -0.168801 -0.049521 -0.956064
1642661813.197781 0.446444 1.423820 1.362832 -0.234610 -0.168747 -0.049521 -0.956049
1642661813.206115 0.446509 1.423780 1.362888 -0.234688 -0.168756 -0.049456 -0.956032
1642661813.214448 0.446577 1.423727 1.362947 -0.234760 -0.168793 -0.049421 -0.956010
1642661813.222781 0.446645 1.423677 1.363000 -0.234791 -0.168789 -0.049368 -0.956005
1642661813.231115 0.446718 1.423631 1.363061 -0.234920 -0.168917 -0.049221 -0.955959
1642661813.239448 0.446798 1.423579 1.363113 -0.234971 -0.168908 -0.049178 -0.955950
1642661813.247782 0.446884 1.423528 1.363178 -0.235062 -0.168836 -0.049213 -0.955939
1642661813.256115 0.446968 1.423460 1.363235 -0.235147 -0.168934 -0.049090 -0.955906
1642661813.264448 0.447053 1.423404 1.363305 -0.235220 -0.169053 -0.048965 -0.955874
1642661813.272781 0.447141 1.423346 1.363374 -0.235308 -0.169009 -0.048899 -0.955863
1642661813.281115 0.447229 1.423287 1.363445 -0.235402 -0.169030 -0.048780 -0.955843
1642661813.289448 0.447325 1.423231 1.363519 -0.235456 -0.169000 -0.048815 -0.955833
1642661813.297781 0.447413 1.423176 1.363596 -0.235572 -0.169005 -0.048668 -0.955811
1642661813.306115 0.447502 1.423121 1.363672 -0.235675 -0.168888 -0.048705 -0.955805
1642661813.314448 0.447592 1.423064 1.363746 -0.235755 -0.168891 -0.048580 -0.955790
1642661813.322781 0.447684 1.423007 1.363827 -0.235817 -0.168838 -0.048533 -0.955787
1642661813.331115 0.447783 1.422948 1.363912 -0.235925 -0.168840 -0.048451 -0.955764
1642661813.339448 0.447881 1.422891 1.364000 -0.236017 -0.168793 -0.048424 -0.955751
1642661813.347781 0.447985 1.422836 1.364086 -0.236096 -0.168772 -0.048368 -0.955738
1642661813.356115 0.448082 1.422789 1.364178 -0.236204 -0.168797 -0.048296 -0.955710
1642661813.364448 0.448192 1.422741 1.364269 -0.236283 -0.168725 -0.048289 -0.955704
1642661813.372782 0.448305 1.422683 1.364364 -0.236379 -0.168660 -0.048260 -0.955693
1642661813.381115 0.448418 1.422632 1.364458 -0.236493 -0.168644 -0.048254 -0.955668
1642661813.389448 0.448531 1.422574 1.364548 -0.236557 -0.168642 -0.048117 -0.955660
1642661813.397781 0.448642 1.422522 1.364640 -0.236602 -0.168608 -0.048103 -0.955655
1642661813.406115 0.448766 1.422456 1.364731 -0.236705 -0.168526 -0.048121 -0.955643
1642661813.414448 0.448889 1.422391 1.364821 -0.236769 -0.168547 -0.048088 -0.955626
1642661813.422781 0.449015 1.422337 1.364924 -0.236869 -0.168480 -0.048130 -0.955611
1642661813.431115 0.449147 1.422283 1.365019 -0.236958 -0.168478 -0.048054 -0.955593
1642661813.439448 0.449267 1.422236 1.365112 -0.237064 -0.168476 -0.047965 -0.955571
1642661813.447781 0.449397 1.422176 1.365202 -0.237193 -0.168470 -0.047912 -0.955543
1642661813.456115 0.449524 1.422130 1.365291 -0.237283 -0.168479 -0.047881 -0.955520
1642661813.464448 0.449649 1.422088 1.365379 -0.237333 -0.168385 -0.047825 -0.955527
1642661813.472781 0.449779 1.422050 1.365472 -0.237428 -0.168338 -0.047869 -0.955510
1642661813.481115 0.449895 1.422021 1.365556 -0.237492 -0.168365 -0.047779 -0.955494
1642661813.489448 0.450026 1.421991 1.365644 -0.237537 -0.168248 -0.047776 -0.955503
1642661813.497782 0.450152 1.421966 1.365732 -0.237573 -0.168225 -0.047737 -0.955500
1642661813.506115 0.450287 1.421943 1.365821 -0.237633 -0.168207 -0.047660 -0.955492
1642661813.514448 0.450421 1.421914 1.365903 -0.237691 -0.168185 -0.047570 -0.955486
1642661813.522781 0.450555 1.421889 1.365988 -0.237722 -0.168084 -0.047474 -0.955501
1642661813.531115 0.450695 1.421870 1.366070 -0.237783 -0.168114 -0.047391 -0.955485
1642661813.539448 0.450828 1.421844 1.366152 -0.237830 -0.167992 -0.047323 -0.955498
1642661813.547781 0.450958 1.421825 1.366225 -0.237871 -0.167984 -0.047182 -0.955496
1642661813.556115 0.451080 1.421811 1.366299 -0.237909 -0.167824 -0.047102 -0.955519
1642661813.564448 0.451211 1.421789 1.366377 -0.237901 -0.167903 -0.046933 -0.955515
1642661813.572781 0.451346 1.421768 1.366452 -0.237914 -0.167758 -0.046940 -0.955537
1642661813.581115 0.451466 1.421752 1.366524 -0.237944 -0.167633 -0.046904 -0.955553
1642661813.589448 0.451586 1.421729 1.366605 -0.237901 -0.167565 -0.046798 -0.955581
1642661813.597781 0.451706 1.421716 1.366683 -0.237952 -0.167525 -0.046669 -0.955582
1642661813.606115 0.451833 1.421701 1.366767 -0.237942 -0.167447 -0.046585 -0.955602
1642661813.614448 0.451968 1.421684 1.366859 -0.237984 -0.167341 -0.046558 -0.955611
1642661813.622782 0.452087 1.421656 1.366949 -0.238007 -0.167278 -0.046480 -0.955620
1642661813.631115 0.452215 1.421644 1.367052 -0.238040 -0.167259 -0.046362 -0.955621
1642661813.639448 0.452343 1.421623 1.367162 -0.238101 -0.167245 -0.046264 -0.955613
1642661813.647781 0.452475 1.421602 1.367292 -0.238188 -0.167330 -0.046137 -0.955583
1642661813.656115 0.452611 1.421578 1.367436 -0.238257 -0.167310 -0.046164 -0.955568
1642661813.664448 0.452750 1.421562 1.367593 -0.238327 -0.167392 -0.046170 -0.955536
1642661813.672781 0.452891 1.421537 1.367769 -0.238374 -0.167429 -0.046170 -0.955517
1642661813.681115 0.453029 1.421522 1.367965 -0.238468 -0.167439 -0.046213 -0.955490
1642661813.689448 0.453172 1.421503 1.368174 -0.238503 -0.167428 -0.046307 -0.955479
1642661813.697781 0.453325 1.421479 1.368396 -0.238600 -0.167475 -0.046383 -0.955443
1642661813.706115 0.453472 1.421461 1.368623 -0.238657 -0.167660 -0.046405 -0.955395
1642661813.714448 0.453626 1.421462 1.368875 -0.238717 -0.167828 -0.046470 -0.955347
1642661813.722781 0.453778 1.421482 1.369144 -0.238872 -0.167974 -0.046579 -0.955278
1642661813.731115 0.453935 1.421521 1.369435 -0.238991 -0.168176 -0.046744 -0.955204
1642661813.739448 0.454078 1.421605 1.369744 -0.239012 -0.168343 -0.046861 -0.955164
