# ground truth for sofa_normal1.synced
# timestamp tx ty tz qx qy qz qw
1642515318.780882 1.275870 1.327728 0.098012 -0.271158 -0.374590 -0.033286 -0.886029
1642515318.789216 1.275853 1.327713 0.097962 -0.271045 -0.374892 -0.033017 -0.885946
1642515318.797549 1.275832 1.327722 0.097917 -0.271046 -0.374753 -0.033095 -0.886002
1642515318.805882 1.275812 1.327732 0.097874 -0.270968 -0.374719 -0.033122 -0.886039
1642515318.814216 1.275788 1.327734 0.097829 -0.270976 -0.374788 -0.033087 -0.886009
1642515318.822549 1.275766 1.327759 0.097786 -0.270946 -0.374860 -0.033025 -0.885990
1642515318.830882 1.275787 1.327734 0.097688 -0.270760 -0.373858 -0.033324 -0.886459
1642515318.839216 1.275724 1.327774 0.097680 -0.270929 -0.374699 -0.033059 -0.886061
1642515318.847549 1.275693 1.327780 0.097636 -0.270824 -0.374757 -0.032998 -0.886072
1642515318.855882 1.275672 1.327800 0.097585 -0.270872 -0.374647 -0.033067 -0.886101
1642515318.864216 1.275645 1.327805 0.097540 -0.270831 -0.374641 -0.033036 -0.886117
1642515318.872549 1.275617 1.327820 0.097496 -0.270793 -0.374592 -0.033067 -0.886148
1642515318.880882 1.275592 1.327828 0.097452 -0.270747 -0.374537 -0.033073 -0.886186
1642515318.889216 1.275558 1.327839 0.097409 -0.270749 -0.374534 -0.033070 -0.886186
1642515318.897549 1.275578 1.327819 0.097321 -0.270530 -0.373431 -0.033376 -0.886707
1642515318.905882 1.275546 1.327825 0.097282 -0.270494 -0.373355 -0.033349 -0.886751
1642515318.914216 1.275520 1.327830 0.097242 -0.270510 -0.373158 -0.033430 -0.886826
1642515318.922549 1.275447 1.327854 0.097244 -0.270665 -0.373930 -0.033043 -0.886468
1642515318.930882 1.275460 1.327827 0.097163 -0.270437 -0.372845 -0.033377 -0.886982
1642515318.939216 1.275429 1.327833 0.097125 -0.270438 -0.372762 -0.033321 -0.887018
1642515318.947549 1.275396 1.327840 0.097086 -0.270392 -0.372665 -0.033293 -0.887074
1642515318.955882 1.275370 1.327838 0.097053 -0.270388 -0.372571 -0.033269 -0.887115
1642515318.964216 1.275342 1.327834 0.097006 -0.270404 -0.372437 -0.033298 -0.887166
1642515318.972549 1.275318 1.327833 0.096972 -0.270363 -0.372376 -0.033267 -0.887205
1642515318.980882 1.275294 1.327833 0.096942 -0.270357 -0.372254 -0.033346 -0.887255
1642515318.989216 1.275268 1.327838 0.096907 -0.270357 -0.372218 -0.033339 -0.887271
1642515318.997549 1.275209 1.327862 0.096917 -0.270492 -0.373192 -0.032999 -0.886833
1642515319.005882 1.275229 1.327840 0.096830 -0.270352 -0.372278 -0.033303 -0.887249
1642515319.014216 1.275204 1.327844 0.096802 -0.270366 -0.372240 -0.033359 -0.887258
1642515319.022549 1.275186 1.327848 0.096768 -0.270323 -0.372290 -0.033394 -0.887249
1642515319.030882 1.275163 1.327852 0.096741 -0.270305 -0.372254 -0.033458 -0.887267
