# ground truth for mountain_normal1.synced
# timestamp tx ty tz qx qy qz qw
1642668753.104252 -0.211369 1.601994 0.141058 -0.087981 0.133796 -0.208104 -0.964910
1642668753.112585 -0.211459 1.602096 0.140987 -0.087967 0.133815 -0.208131 -0.964903
1642668753.120918 -0.211554 1.602205 0.140918 -0.087915 0.133897 -0.208225 -0.964876
1642668753.129252 -0.211649 1.602311 0.140829 -0.087830 0.133754 -0.208159 -0.964918
1642668753.137585 -0.211752 1.602425 0.140756 -0.087712 0.133894 -0.208265 -0.964886
1642668753.145918 -0.211848 1.602533 0.140675 -0.087672 0.133865 -0.208326 -0.964880
1642668753.154252 -0.211949 1.602643 0.140588 -0.087565 0.133796 -0.208374 -0.964889
1642668753.162585 -0.212052 1.602754 0.140510 -0.087515 0.133663 -0.208386 -0.964910
1642668753.170918 -0.212150 1.602874 0.140424 -0.087373 0.133630 -0.208489 -0.964905
1642668753.179252 -0.212229 1.602943 0.140319 -0.087223 0.133680 -0.208628 -0.964881
1642668753.187585 -0.212331 1.603090 0.140243 -0.087126 0.133528 -0.208647 -0.964907
1642668753.195918 -0.212414 1.603191 0.140152 -0.087059 0.133393 -0.208686 -0.964923
1642668753.204252 -0.212491 1.603294 0.140057 -0.086979 0.133375 -0.208744 -0.964921
1642668753.212585 -0.212560 1.603392 0.139963 -0.086866 0.133262 -0.208734 -0.964949
1642668753.220918 -0.212618 1.603481 0.139866 -0.086795 0.133156 -0.208720 -0.964973
1642668753.229252 -0.212679 1.603578 0.139774 -0.086713 0.133141 -0.208703 -0.964986
1642668753.237585 -0.212721 1.603662 0.139660 -0.086624 0.132767 -0.208486 -0.965092
1642668753.245918 -0.212767 1.603735 0.139558 -0.086534 0.132836 -0.208514 -0.965085
1642668753.254252 -0.212805 1.603808 0.139457 -0.086494 0.132826 -0.208467 -0.965100
1642668753.262585 -0.212842 1.603876 0.139354 -0.086407 0.132919 -0.208429 -0.965103
1642668753.270918 -0.212877 1.603942 0.139252 -0.086291 0.133052 -0.208464 -0.965088
1642668753.279252 -0.212906 1.603998 0.139147 -0.086261 0.133128 -0.208377 -0.965098
