# ground truth for sofa_fast1.synced
# timestamp tx ty tz qx qy qz qw
1642516754.925902 1.059979 1.455361 -0.309252 -0.188166 -0.413703 -0.048036 -0.889458
1642516754.934235 1.059984 1.455401 -0.309258 -0.188056 -0.413681 -0.048045 -0.889491
1642516754.942568 1.059984 1.455445 -0.309262 -0.187981 -0.413715 -0.047995 -0.889494
1642516754.950902 1.059993 1.455486 -0.309272 -0.187902 -0.413663 -0.048030 -0.889533
1642516754.959235 1.059987 1.455523 -0.309285 -0.187869 -0.413546 -0.048072 -0.889592
1642516754.967568 1.059986 1.455568 -0.309289 -0.187846 -0.413520 -0.048103 -0.889607
1642516754.975902 1.059980 1.455612 -0.309289 -0.187743 -0.413467 -0.048094 -0.889654
1642516754.984235 1.059975 1.455660 -0.309302 -0.187699 -0.413414 -0.048170 -0.889684
1642516754.992568 1.059972 1.455703 -0.309307 -0.187584 -0.413274 -0.048303 -0.889766
1642516755.000902 1.059971 1.455713 -0.309298 -0.187509 -0.413163 -0.048334 -0.889832
1642516755.009235 1.059962 1.455765 -0.309320 -0.187429 -0.413304 -0.048359 -0.889782
1642516755.017568 1.059957 1.455792 -0.309323 -0.187347 -0.413237 -0.048442 -0.889826
1642516755.025902 1.059954 1.455817 -0.309332 -0.187251 -0.413218 -0.048513 -0.889851
1642516755.034235 1.059955 1.455844 -0.309334 -0.187155 -0.413317 -0.048514 -0.889825
1642516755.042568 1.059963 1.455868 -0.309337 -0.187095 -0.413345 -0.048574 -0.889821
1642516755.050902 1.059974 1.455894 -0.309335 -0.187052 -0.413300 -0.048694 -0.889845
1642516755.059235 1.059988 1.455906 -0.309340 -0.187058 -0.413421 -0.048681 -0.889788
1642516755.067568 1.060013 1.455929 -0.309334 -0.187024 -0.413440 -0.048692 -0.889786
1642516755.075902 1.060033 1.455943 -0.309331 -0.187004 -0.413543 -0.048725 -0.889740
1642516755.084235 1.060072 1.455957 -0.309325 -0.187041 -0.413617 -0.048715 -0.889699
1642516755.092568 1.060115 1.455970 -0.309327 -0.187107 -0.413722 -0.048717 -0.889636
1642516755.100902 1.060152 1.455972 -0.309324 -0.187188 -0.413804 -0.048677 -0.889583
1642516755.109235 1.060199 1.455982 -0.309318 -0.187231 -0.413913 -0.048649 -0.889524
1642516755.117568 1.060236 1.455995 -0.309324 -0.187170 -0.414069 -0.048587 -0.889468
1642516755.125902 1.060280 1.456006 -0.309319 -0.187176 -0.414130 -0.048541 -0.889441
