# ground truth for desk_normal1.synced
# timestamp tx ty tz qx qy qz qw
1642647813.062094 -0.807523 1.362122 0.249854 -0.209228 0.077049 -0.124749 -0.966812
1642647813.070428 -0.807539 1.362100 0.249887 -0.209247 0.076983 -0.124715 -0.966817
1642647813.078761 -0.807539 1.362071 0.249907 -0.209315 0.076557 -0.124354 -0.966883
1642647813.087094 -0.807560 1.362089 0.249959 -0.209245 0.077046 -0.124671 -0.966818
1642647813.095428 -0.807564 1.362083 0.249992 -0.209213 0.077104 -0.124685 -0.966819
1642647813.103761 -0.807570 1.362091 0.250018 -0.209211 0.077124 -0.124657 -0.966821
1642647813.112094 -0.807565 1.362092 0.250050 -0.209201 0.077145 -0.124650 -0.966823
1642647813.120428 -0.807546 1.362077 0.250060 -0.209288 0.076685 -0.124331 -0.966882
1642647813.128761 -0.807535 1.362084 0.250082 -0.209270 0.076660 -0.124284 -0.966894
1642647813.137094 -0.807518 1.362094 0.250118 -0.209231 0.076636 -0.124265 -0.966906
1642647813.145427 -0.807497 1.362105 0.250143 -0.209248 0.076656 -0.124290 -0.966898
1642647813.153761 -0.807489 1.362142 0.250189 -0.209183 0.077082 -0.124589 -0.966839
1642647813.162094 -0.807451 1.362138 0.250191 -0.209185 0.076611 -0.124226 -0.966923
1642647813.170428 -0.807425 1.362156 0.250219 -0.209230 0.076477 -0.124169 -0.966931
1642647813.178761 -0.807400 1.362156 0.250244 -0.209204 0.076477 -0.124154 -0.966939
1642647813.187094 -0.807376 1.362167 0.250258 -0.209155 0.076557 -0.124220 -0.966935
1642647813.195428 -0.807343 1.362177 0.250281 -0.209158 0.076473 -0.124172 -0.966947
1642647813.203761 -0.807313 1.362194 0.250301 -0.209144 0.076442 -0.124201 -0.966949
1642647813.212094 -0.807285 1.362222 0.250317 -0.209130 0.076469 -0.124194 -0.966951
1642647813.220428 -0.807246 1.362243 0.250341 -0.209087 0.076352 -0.124158 -0.966974
1642647813.228761 -0.807210 1.362271 0.250357 -0.209145 0.076356 -0.124151 -0.966962
1642647813.237094 -0.807166 1.362298 0.250382 -0.209027 0.076405 -0.124099 -0.966990
1642647813.245428 -0.807113 1.362332 0.250411 -0.209038 0.076413 -0.124071 -0.966991
1642647813.253761 -0.807067 1.362380 0.250455 -0.209003 0.076801 -0.124336 -0.966933
1642647813.262094 -0.807002 1.362409 0.250480 -0.208986 0.076784 -0.124283 -0.966945
1642647813.270427 -0.806921 1.362416 0.250492 -0.209069 0.076338 -0.123906 -0.967011
1642647813.278761 -0.806852 1.362432 0.250509 -0.209071 0.076299 -0.123789 -0.967028
1642647813.287094 -0.806799 1.362465 0.250549 -0.209039 0.076704 -0.124032 -0.966972
1642647813.295428 -0.806721 1.362468 0.250573 -0.209114 0.076684 -0.124007 -0.966961
1642647813.303761 -0.806653 1.362462 0.250597 -0.209166 0.076638 -0.123924 -0.966964
1642647813.312094 -0.806579 1.362447 0.250619 -0.209186 0.076655 -0.123868 -0.966966
1642647813.320428 -0.806499 1.362406 0.250624 -0.209312 0.076110 -0.123432 -0.967037
1642647813.328761 -0.806456 1.362408 0.250676 -0.209277 0.076596 -0.123722 -0.966969
1642647813.337094 -0.806391 1.362389 0.250710 -0.209387 0.076641 -0.123685 -0.966946
1642647813.345428 -0.806322 1.362348 0.250745 -0.209444 0.076682 -0.123623 -0.966939
1642647813.353761 -0.806264 1.362323 0.250788 -0.209580 0.076634 -0.123538 -0.966924
1642647813.362094 -0.806198 1.362288 0.250838 -0.209657 0.076688 -0.123430 -0.966917
1642647813.370428 -0.806142 1.362247 0.250878 -0.209760 0.076823 -0.123408 -0.966887
1642647813.378761 -0.806087 1.362209 0.250929 -0.209902 0.076738 -0.123319 -0.966874
1642647813.387094 -0.806036 1.362172 0.250971 -0.209942 0.076793 -0.123260 -0.966868
1642647813.395427 -0.805992 1.362141 0.251022 -0.210015 0.076795 -0.123195 -0.966861
1642647813.403761 -0.805941 1.362095 0.251055 -0.210143 0.076876 -0.123170 -0.966829
1642647813.412094 -0.805903 1.362065 0.251097 -0.210182 0.076885 -0.123152 -0.966822
1642647813.420428 -0.805855 1.362022 0.251123 -0.210305 0.076852 -0.123116 -0.966803
1642647813.428761 -0.805818 1.361992 0.251158 -0.210295 0.076738 -0.123020 -0.966826
1642647813.437094 -0.805769 1.361947 0.251171 -0.210374 0.076867 -0.123068 -0.966793
1642647813.445428 -0.805730 1.361927 0.251193 -0.210446 0.076769 -0.122944 -0.966801
1642647813.453761 -0.805694 1.361913 0.251207 -0.210507 0.076792 -0.122946 -0.966785
1642647813.462094 -0.805648 1.361896 0.251210 -0.210500 0.076795 -0.122828 -0.966802
1642647813.470428 -0.805610 1.361895 0.251203 -0.210509 0.076918 -0.122876 -0.966784
1642647813.478761 -0.805568 1.361897 0.251192 -0.210476 0.077069 -0.122860 -0.966781
1642647813.487094 -0.805539 1.361904 0.251177 -0.210506 0.077021 -0.122746 -0.966793
1642647813.495428 -0.805506 1.361918 0.251159 -0.210441 0.077184 -0.122713 -0.966798
1642647813.503761 -0.805477 1.361943 0.251138 -0.210448 0.077228 -0.122667 -0.966799
1642647813.512094 -0.805445 1.361965 0.251113 -0.210413 0.077286 -0.122600 -0.966811
1642647813.520427 -0.805416 1.361998 0.251092 -0.210359 0.077363 -0.122529 -0.966825
1642647813.528761 -0.805389 1.362031 0.251057 -0.210370 0.077484 -0.122508 -0.966816
1642647813.537094 -0.805366 1.362062 0.251037 -0.210327 0.077530 -0.122439 -0.966830
1642647813.545428 -0.805348 1.362097 0.251002 -0.210329 0.077580 -0.122382 -0.966833
1642647813.553761 -0.805330 1.362122 0.250965 -0.210319 0.077695 -0.122349 -0.966830
1642647813.562094 -0.805372 1.362159 0.250926 -0.210149 0.077969 -0.122661 -0.966806
1642647813.570428 -0.805357 1.362182 0.250894 -0.210130 0.078002 -0.122651 -0.966808
1642647813.578761 -0.805343 1.362203 0.250866 -0.210021 0.078144 -0.122649 -0.966820
1642647813.587094 -0.805331 1.362229 0.250841 -0.209973 0.078255 -0.122602 -0.966828
1642647813.595428 -0.805317 1.362255 0.250820 -0.209968 0.078236 -0.122556 -0.966836
