# ground truth for mountain_fast1.synced
# timestamp tx ty tz qx qy qz qw
1642669371.042867 0.131140 1.451711 0.702257 -0.097567 0.328246 -0.167952 -0.924406
1642669371.051201 0.131242 1.451729 0.702385 -0.097522 0.328113 -0.167897 -0.924468
1642669371.059534 0.131340 1.451755 0.702510 -0.097400 0.328154 -0.167878 -0.924470
1642669371.067868 0.131436 1.451784 0.702643 -0.097260 0.328136 -0.167807 -0.924504
1642669371.076201 0.131531 1.451820 0.702771 -0.097193 0.328173 -0.167743 -0.924510
1642669371.084534 0.131626 1.451863 0.702899 -0.097122 0.328192 -0.167601 -0.924536
1642669371.092867 0.131710 1.451906 0.703023 -0.097057 0.328264 -0.167465 -0.924542
1642669371.101201 0.131792 1.451945 0.703140 -0.096978 0.328350 -0.167394 -0.924533
1642669371.109534 0.131872 1.452001 0.703261 -0.096937 0.328440 -0.167301 -0.924522
1642669371.117867 0.131936 1.452061 0.703377 -0.096791 0.328618 -0.167088 -0.924513
1642669371.126201 0.131994 1.452129 0.703501 -0.096706 0.328769 -0.166998 -0.924484
1642669371.134534 0.132049 1.452192 0.703615 -0.096652 0.328888 -0.166894 -0.924466
1642669371.142867 0.132109 1.452261 0.703733 -0.096581 0.328992 -0.166836 -0.924447
1642669371.151201 0.132160 1.452330 0.703856 -0.096521 0.329010 -0.166647 -0.924481
1642669371.159534 0.132206 1.452396 0.703974 -0.096384 0.329044 -0.166548 -0.924501
1642669371.167867 0.132249 1.452461 0.704104 -0.096328 0.329017 -0.166542 -0.924517
1642669371.176201 0.132291 1.452527 0.704228 -0.096202 0.328921 -0.166430 -0.924585
1642669371.184534 0.132336 1.452595 0.704361 -0.096124 0.328820 -0.166363 -0.924641
1642669371.192868 0.132365 1.452669 0.704490 -0.096091 0.328593 -0.166286 -0.924739
1642669371.201201 0.132397 1.452745 0.704611 -0.096013 0.328391 -0.166246 -0.924826
1642669371.209534 0.132413 1.452815 0.704734 -0.095915 0.328250 -0.166216 -0.924892
1642669371.217867 0.132423 1.452881 0.704858 -0.095786 0.328058 -0.166114 -0.924991
1642669371.226201 0.132423 1.452952 0.704982 -0.095688 0.327952 -0.166116 -0.925039
1642669371.234534 0.132423 1.453015 0.705104 -0.095687 0.327778 -0.166085 -0.925106
1642669371.242867 0.132401 1.453083 0.705225 -0.095583 0.327705 -0.166019 -0.925155
1642669371.251201 0.132377 1.453149 0.705342 -0.095557 0.327608 -0.165973 -0.925200
1642669371.259534 0.132339 1.453212 0.705457 -0.095425 0.327617 -0.165941 -0.925216
1642669371.267867 0.132296 1.453275 0.705564 -0.095420 0.327648 -0.165961 -0.925202
1642669371.276201 0.132236 1.453344 0.705667 -0.095280 0.327695 -0.165862 -0.925217
1642669371.284534 0.132156 1.453410 0.705760 -0.095124 0.327870 -0.165873 -0.925170
1642669371.292867 0.132076 1.453474 0.705845 -0.095011 0.328027 -0.165861 -0.925128
1642669371.301201 0.131982 1.453545 0.705918 -0.094895 0.328180 -0.165818 -0.925093
1642669371.309534 0.131877 1.453617 0.705996 -0.094717 0.328457 -0.165803 -0.925016
1642669371.317868 0.131770 1.453692 0.706059 -0.094579 0.328658 -0.165760 -0.924966
1642669371.326201 0.131644 1.453771 0.706133 -0.094503 0.328805 -0.165727 -0.924928
1642669371.334534 0.131508 1.453859 0.706205 -0.094281 0.329000 -0.165618 -0.924900
1642669371.342867 0.131362 1.453949 0.706278 -0.094115 0.329160 -0.165604 -0.924863
1642669371.351201 0.131200 1.454050 0.706352 -0.093857 0.329386 -0.165514 -0.924825
1642669371.359534 0.131029 1.454151 0.706419 -0.093713 0.329571 -0.165516 -0.924773
1642669371.367867 0.130833 1.454262 0.706485 -0.093383 0.329796 -0.165464 -0.924735
1642669371.376201 0.130624 1.454381 0.706549 -0.093129 0.329924 -0.165440 -0.924720
1642669371.384534 0.130388 1.454509 0.706619 -0.092721 0.330189 -0.165399 -0.924673
1642669371.392867 0.130152 1.454635 0.706678 -0.092349 0.330447 -0.165523 -0.924596
1642669371.401201 0.129893 1.454762 0.706753 -0.092059 0.330577 -0.165541 -0.924576
1642669371.409534 0.129618 1.454890 0.706827 -0.091649 0.330951 -0.165704 -0.924453
1642669371.417867 0.129325 1.455028 0.706917 -0.091279 0.331106 -0.165790 -0.924419
1642669371.426201 0.129032 1.455163 0.707003 -0.090879 0.331297 -0.165959 -0.924360
1642669371.434534 0.128709 1.455318 0.707104 -0.090384 0.331565 -0.166068 -0.924293
1642669371.442868 0.128389 1.455467 0.707205 -0.089963 0.331610 -0.166128 -0.924307
1642669371.451201 0.128051 1.455625 0.707318 -0.089427 0.331760 -0.166157 -0.924300
1642669371.459534 0.127688 1.455785 0.707431 -0.088897 0.332013 -0.166314 -0.924232
1642669371.467867 0.127334 1.455949 0.707554 -0.088422 0.332115 -0.166413 -0.924223
1642669371.476201 0.126944 1.456134 0.707685 -0.087883 0.332335 -0.166457 -0.924187
1642669371.484534 0.126542 1.456326 0.707829 -0.087279 0.332647 -0.166472 -0.924130
1642669371.492867 0.126130 1.456526 0.707983 -0.086702 0.332978 -0.166460 -0.924067
1642669371.501201 0.125703 1.456742 0.708154 -0.086095 0.333316 -0.166399 -0.924013
1642669371.509534 0.125271 1.456968 0.708337 -0.085599 0.333581 -0.166337 -0.923974
1642669371.517867 0.124825 1.457197 0.708532 -0.084894 0.333989 -0.166197 -0.923917
1642669371.526201 0.124353 1.457449 0.708747 -0.084232 0.334394 -0.166050 -0.923858
1642669371.534534 0.123871 1.457689 0.708970 -0.083660 0.334621 -0.165862 -0.923861
1642669371.542867 0.123379 1.457936 0.709196 -0.083075 0.334943 -0.165792 -0.923810
1642669371.551201 0.122861 1.458186 0.709436 -0.082321 0.335382 -0.165637 -0.923746
1642669371.559534 0.122327 1.458439 0.709683 -0.081473 0.335757 -0.165312 -0.923743
1642669371.567868 0.121768 1.458679 0.709926 -0.080635 0.336290 -0.165091 -0.923662
1642669371.576201 0.121183 1.458909 0.710181 -0.079798 0.336896 -0.165003 -0.923530
1642669371.584534 0.120571 1.459141 0.710447 -0.078884 0.337478 -0.164761 -0.923439
1642669371.592867 0.119914 1.459362 0.710722 -0.077870 0.338120 -0.164569 -0.923324
1642669371.601201 0.119241 1.459562 0.710993 -0.077018 0.338760 -0.164505 -0.923173
1642669371.609534 0.118529 1.459744 0.711279 -0.075894 0.339582 -0.164320 -0.922997
1642669371.617867 0.117800 1.459894 0.711567 -0.074797 0.340311 -0.164214 -0.922837
1642669371.626201 0.117018 1.460017 0.711864 -0.073704 0.341155 -0.164080 -0.922637
1642669371.634534 0.116217 1.460110 0.712176 -0.072568 0.341778 -0.163920 -0.922525
1642669371.642867 0.115385 1.460170 0.712476 -0.071455 0.342391 -0.163749 -0.922415
1642669371.651201 0.114499 1.460178 0.712799 -0.070137 0.343291 -0.163755 -0.922180
1642669371.659534 0.113552 1.460160 0.713117 -0.068859 0.343924 -0.163661 -0.922058
1642669371.667867 0.112572 1.460075 0.713444 -0.067645 0.344582 -0.163702 -0.921894
1642669371.676201 0.111525 1.459938 0.713754 -0.066259 0.345363 -0.163824 -0.921681
1642669371.684534 0.110451 1.459731 0.714060 -0.064868 0.346062 -0.164015 -0.921484
1642669371.692868 0.109311 1.459462 0.714359 -0.063415 0.346813 -0.164264 -0.921258
1642669371.701201 0.108119 1.459103 0.714648 -0.061887 0.347649 -0.164773 -0.920956
1642669371.709534 0.106907 1.458610 0.714969 -0.060141 0.348175 -0.165686 -0.920709
1642669371.717867 0.105577 1.458092 0.715311 -0.057474 0.348834 -0.166159 -0.920545
1642669371.726201 0.104272 1.457471 0.715469 -0.056602 0.349743 -0.166829 -0.920133
1642669371.734534 0.102837 1.456746 0.715771 -0.053772 0.350301 -0.167454 -0.919977
1642669371.742867 0.101412 1.455904 0.715881 -0.052707 0.351179 -0.168350 -0.919540
1642669371.751201 0.099842 1.454958 0.716149 -0.049850 0.351724 -0.169257 -0.919324
1642669371.759534 0.098259 1.453869 0.716237 -0.048620 0.352779 -0.170394 -0.918776
1642669371.767867 0.096548 1.452649 0.716459 -0.045789 0.353514 -0.171636 -0.918408
1642669371.776201 0.094797 1.451271 0.716547 -0.043859 0.353419 -0.172387 -0.918398
1642669371.784534 0.092956 1.449768 0.716655 -0.041676 0.354463 -0.173987 -0.917795
