time,x,y,z,qw,qx,qy,qz,vx,vy,vz,
1642644849661689344,0.01473,0.01740,0.00748,0.98762,-0.00370,0.12351,-0.09660,0.02598,0.00294,0.01179,
1642644849761689088,0.01633,0.01554,0.00866,0.98644,-0.00029,0.13373,-0.09519,0.02392,-0.00073,0.01572,
1642644849861689088,0.01822,0.01383,0.00934,0.98529,0.00306,0.14432,-0.09144,0.02455,-0.00760,0.01630,
1642644850061689088,0.02296,0.01040,0.01221,0.98299,0.00817,0.16611,-0.07795,0.02003,-0.01319,0.01256,
1642644850161689344,0.02351,0.00755,0.01422,0.98255,0.00900,0.17135,-0.07182,0.01601,-0.01106,0.01260,
1642644850195022592,0.02442,0.00667,0.01483,0.98245,0.00889,0.17268,-0.07001,0.01389,-0.01140,0.01198,
1642644850261689088,0.02580,0.00612,0.01507,0.98225,0.00885,0.17531,-0.06607,0.01954,-0.01139,0.01168,
1642644850361689088,0.02537,0.00507,0.01552,0.98171,0.01000,0.18127,-0.05725,0.01834,-0.01674,0.01135,
1642644850595022336,0.02696,0.00092,0.01732,0.98009,0.02399,0.19322,-0.03901,0.01056,-0.01984,0.00881,
1642644850628355840,0.02587,-0.00080,0.01737,0.98005,0.02566,0.19388,-0.03555,0.00651,-0.02123,0.00965,
1642644850695022592,0.02623,-0.00404,0.01858,0.97985,0.02930,0.19546,-0.02893,0.00883,-0.02524,0.01051,
1642644850761689088,0.02630,-0.00628,0.01890,0.97954,0.03440,0.19700,-0.02260,0.01147,-0.03213,0.01047,
1642644850861689088,0.02760,-0.01045,0.01971,0.97852,0.04620,0.20065,-0.01009,0.01241,-0.04401,0.00811,
1642644850961689344,0.02784,-0.01468,0.02030,0.97753,0.06203,0.20148,0.00125,0.00810,-0.04636,0.00413,
1642644851061689088,0.02773,-0.01960,0.02018,0.97690,0.07472,0.19994,0.01046,0.00535,-0.02741,0.00089,
1642644851161689088,0.02755,-0.02153,0.02022,0.97691,0.07806,0.19838,0.01396,0.00337,-0.02009,-0.00105,
1642644851261689088,0.02690,-0.02354,0.02074,0.97720,0.08377,0.19362,0.02387,-0.00219,-0.03005,-0.00049,
1642644851361689088,0.02630,-0.02613,0.02055,0.97729,0.09064,0.18939,0.02863,0.00305,-0.02643,-0.00139,
1642644851495022592,0.02505,-0.02961,0.02030,0.97806,0.10163,0.17904,0.03196,-0.00989,-0.02951,-0.00562,
1642644851628355840,0.02276,-0.03218,0.01965,0.97887,0.11350,0.16718,0.03122,-0.00452,-0.02472,-0.00511,
1642644851661689088,0.02168,-0.03231,0.01899,0.97910,0.11566,0.16445,0.03069,-0.00596,-0.01811,-0.00496,
1642644851761689088,0.02050,-0.03297,0.01906,0.98003,0.11950,0.15625,0.02898,-0.01416,-0.01108,-0.00556,
1642644851861689088,0.01817,-0.03325,0.01807,0.98253,0.11908,0.14043,0.02717,-0.02541,0.00432,-0.01104,
1642644851961689344,0.01392,-0.03079,0.01629,0.98620,0.11172,0.12000,0.02295,-0.03054,0.02277,-0.01339,
1642644852061689088,0.00976,-0.02680,0.01338,0.99031,0.09547,0.09988,0.01421,-0.02883,0.04207,-0.01883,
1642644852161689088,0.00661,-0.02172,0.01030,0.99372,0.07225,0.08518,0.00637,-0.01693,0.04237,-0.01851,
1642644852261689088,0.00443,-0.01616,0.00648,0.99575,0.05012,0.07727,0.00198,-0.00951,0.03827,-0.02143,
1642644852361689088,0.00315,-0.01121,0.00337,0.99674,0.02888,0.07539,0.00056,-0.00303,0.04289,-0.02075,
1642644852461689344,0.00288,-0.00699,0.00169,0.99713,0.00785,0.07524,-0.00224,-0.00597,0.03626,-0.01998,
1642644852561689088,0.00276,-0.00420,0.00177,0.99718,-0.00794,0.07452,-0.00430,-0.00276,0.02867,-0.01127,
1642644852661689088,0.00276,-0.00119,0.00172,0.99695,-0.02098,0.07484,-0.00643,0.00097,0.02721,-0.00670,
