time,x,y,z,qw,qx,qy,qz,vx,vy,vz,
1642650000299650304,0.03651,0.06962,-0.00854,0.94462,-0.06391,0.32038,0.03112,0.07926,0.17345,0.03217,
1642650000399650304,0.04499,0.08574,-0.00284,0.94429,-0.05970,0.31999,0.04856,0.11088,0.15373,0.11357,
1642650000499650304,0.05610,0.09604,0.01589,0.94472,-0.03756,0.31798,0.07058,0.11032,0.09941,0.28873,
1642650000599650304,0.06552,0.09965,0.04862,0.94821,-0.01535,0.30842,0.07446,0.05405,0.00859,0.39710,
1642650000699650304,0.06780,0.09412,0.08359,0.95983,0.01388,0.27164,0.06886,0.00739,-0.13130,0.32510,
1642650001032983552,0.07981,0.02175,0.10038,0.96812,0.09072,0.23250,0.02140,0.13751,-0.28912,-0.18313,
1642650001066316800,0.08317,0.01406,0.08998,0.96553,0.09017,0.24370,0.01513,0.14715,-0.28018,-0.24691,
1642650001099650304,0.08758,0.00578,0.08061,0.96284,0.09040,0.25439,0.00733,0.15687,-0.26316,-0.29872,
1642650001166317056,0.10015,-0.01137,0.06426,0.95535,0.09918,0.27778,-0.01752,0.18253,-0.20789,-0.35721,
1642650001199650304,0.10701,-0.01868,0.05769,0.95132,0.10000,0.29001,-0.02967,0.19404,-0.17992,-0.36267,
1642650001366317056,0.13599,-0.04002,-0.00801,0.92382,0.04680,0.37235,-0.07567,0.13060,-0.11186,-0.41784,
1642650001399650304,0.14120,-0.04395,-0.01867,0.91799,0.03457,0.38518,-0.08802,0.12341,-0.12611,-0.38647,
1642650001599650304,0.16277,-0.07624,-0.06903,0.88669,-0.02834,0.43460,-0.15525,0.09571,-0.23796,-0.06073,
1642650001632983808,0.17056,-0.08791,-0.06459,0.88456,-0.03284,0.43318,-0.16978,0.10508,-0.25008,0.01951,
1642650001699650304,0.18810,-0.10888,-0.04693,0.88222,-0.03909,0.42432,-0.20027,0.12204,-0.22962,0.16475,
1642650001799650304,0.19959,-0.12807,-0.02252,0.88604,-0.06130,0.38299,-0.25395,0.10405,-0.09381,0.26526,
1642650002032983552,0.20804,-0.16413,0.04366,0.92765,-0.08299,0.25784,-0.25708,0.08989,0.12744,0.11458,
1642650002099650304,0.21024,-0.15874,0.05296,0.93999,-0.08262,0.24359,-0.22416,0.10374,0.18287,0.01418,
1642650002132983808,0.21381,-0.15226,0.05370,0.94508,-0.08008,0.24350,-0.20278,0.12017,0.20862,-0.03862,
1642650002199650304,0.22317,-0.13534,0.04501,0.95182,-0.07116,0.25666,-0.15197,0.14845,0.24842,-0.15140,
1642650002299650304,0.14930,-0.11140,-0.01331,0.95183,-0.05501,0.29212,-0.07517,-0.01643,0.28876,-0.32868,
1642650002632983808,0.10351,-0.00046,-0.09204,0.90260,0.02323,0.42851,0.03382,-0.24110,0.34160,0.10760,
1642650002766316800,0.06495,0.05166,-0.04538,0.90719,0.06101,0.40947,0.07500,-0.30857,0.14146,0.34826,
1642650002899650304,0.02774,0.01604,-0.01780,0.92590,0.10837,0.35518,0.06938,-0.26574,-0.27824,0.24416,
1642650003032983552,-0.00476,-0.03247,0.00291,0.93556,0.16401,0.31041,0.03832,-0.21315,-0.52231,-0.02226,
1642650003066316800,0.03261,-0.08845,0.00367,0.93502,0.17749,0.30613,0.02279,-0.12448,-0.60989,-0.09223,
1642650003099650048,0.02458,-0.10558,-0.00498,0.93501,0.18460,0.30276,0.00260,-0.10486,-0.62859,-0.16294,
1642650003166317056,0.01042,-0.14480,-0.02339,0.93118,0.18993,0.30724,-0.04938,-0.06513,-0.68607,-0.27696,
1642650003199650304,0.00694,-0.17028,-0.05191,0.92848,0.18746,0.31091,-0.07829,-0.05418,-0.72321,-0.34946,
1642650003299650304,0.00386,-0.25812,-0.07893,0.90910,0.17979,0.34244,-0.15474,-0.08152,-0.85100,-0.40600,
1642650003366317056,-0.00451,-0.31613,-0.10303,0.89256,0.16603,0.36429,-0.20753,-0.14403,-0.86734,-0.37914,
1642650003432983552,-0.01672,-0.37363,-0.12602,0.87366,0.14687,0.38014,-0.26577,-0.21585,-0.85273,-0.30777,
1642650003532983552,-0.04312,-0.45840,-0.14712,0.84490,0.12188,0.38980,-0.34546,-0.29473,-0.79494,-0.12598,
1642650003566316800,-0.05072,-0.48781,-0.14775,0.83450,0.11621,0.39113,-0.37030,-0.28864,-0.75770,-0.04861,
1642650003632983808,-0.06378,-0.54047,-0.14270,0.81354,0.10526,0.38960,-0.41867,-0.25398,-0.66087,0.10092,
1642650003766316800,-0.08631,-0.60843,-0.11061,0.79435,0.08494,0.35798,-0.48337,-0.09690,-0.29797,0.34360,
1642650003832983552,-0.06606,-0.57766,-0.06761,0.79431,0.06690,0.33707,-0.50098,0.11333,0.04694,0.38971,
1642650003932983552,-0.05408,-0.55112,-0.03574,0.81630,0.03452,0.30075,-0.49194,0.25099,0.37341,0.20614,
1642650004032983552,-0.02623,-0.51086,-0.03550,0.84689,-0.00024,0.28748,-0.44737,0.35571,0.55327,-0.07036,
1642650004132983808,-0.00074,-0.45262,-0.06887,0.86791,-0.02972,0.30703,-0.38934,0.37301,0.64547,-0.32436,
1642650004232983552,0.02483,-0.38526,-0.11417,0.87837,-0.03718,0.34798,-0.32556,0.31021,0.69464,-0.44695,
1642650004332983552,0.03999,-0.31592,-0.16244,0.88115,-0.01743,0.39311,-0.26217,0.18120,0.75155,-0.43599,
1642650004466317056,0.05869,-0.20335,-0.20661,0.87468,0.02113,0.45126,-0.17568,0.13615,0.92833,-0.17455,
1642650004499650304,0.06481,-0.17036,-0.20897,0.87308,0.02824,0.46174,-0.15406,0.11932,0.96088,-0.06021,
1642650004599650048,0.05380,-0.07970,-0.20151,0.88055,0.04356,0.46496,-0.08086,-0.09379,0.97619,0.26440,
1642650004966317056,-0.03611,0.15896,-0.11163,0.90907,-0.03113,0.35591,0.21434,-0.13429,0.28071,-0.16241,
1642650004999650304,-0.02709,0.14348,-0.11125,0.90512,-0.04414,0.36120,0.21989,-0.06572,0.17370,-0.23998,
1642650005066316800,-0.04571,0.14505,-0.14461,0.90087,-0.06738,0.37578,0.20658,0.01045,0.01629,-0.35509,
1642650005099650048,-0.05114,0.13686,-0.15890,0.89903,-0.07685,0.38673,0.19045,0.04622,-0.08834,-0.37210,
1642650005232983552,0.00635,-0.03218,-0.18499,0.89601,-0.08626,0.42856,0.07787,0.22337,-0.74974,-0.17216,
1642650005366316800,0.02973,-0.16682,-0.18232,0.90006,-0.04439,0.43142,-0.04227,0.04472,-1.15326,0.15835,
1642650005499650304,0.01717,-0.32269,-0.15622,0.90229,0.02472,0.38610,-0.19021,-0.13987,-1.13074,0.18233,
1642650005566316800,0.00208,-0.39177,-0.15123,0.88593,0.04834,0.36179,-0.28617,-0.12844,-1.00719,0.08886,
1642650005599650048,0.00008,-0.42370,-0.14790,0.86991,0.05681,0.35279,-0.33995,-0.11259,-0.95828,0.04010,
1642650005699650304,-0.01126,-0.51421,-0.14912,0.81587,0.08389,0.33497,-0.46381,-0.13626,-0.85271,-0.05128,
1642650005799650304,-0.02384,-0.59025,-0.15563,0.78925,0.12183,0.32602,-0.50591,-0.09071,-0.65540,-0.06073,
1642650005899650304,-0.03756,-0.61804,-0.16420,0.81556,0.15413,0.31701,-0.45892,0.09768,-0.32644,0.02724,
1642650006032983552,0.01000,-0.61671,-0.14900,0.87031,0.14880,0.30177,-0.35966,0.37933,0.09189,0.13157,
1642650006099650048,0.10721,-0.49027,-0.14878,0.89346,0.12670,0.29544,-0.31367,0.52628,0.47163,0.07659,
1642650006599650048,0.32852,-0.09015,-0.18725,0.93105,-0.00038,0.35340,0.09088,0.15453,0.54420,0.11957,
1642650006699650304,0.33218,-0.04464,-0.17028,0.93695,0.00057,0.33497,0.09962,0.02850,0.26042,0.24144,
1642650006732983552,0.33641,-0.03222,-0.16197,0.94227,-0.00004,0.32445,0.08281,0.02183,0.15876,0.25306,
1642650006766316800,0.32859,-0.02274,-0.15301,0.94794,0.00142,0.31247,0.06144,0.00472,0.02991,0.24522,
1642650006799650304,0.21211,-0.10208,-0.10817,0.95462,0.01323,0.29456,0.04194,-0.16067,-0.24655,0.26911,
1642650006999650304,0.15067,-0.18064,-0.05870,0.96403,0.13088,0.23132,0.00028,-0.09783,-0.70892,0.06945,
1642650007066316800,0.14465,-0.21641,-0.06015,0.95805,0.17227,0.22674,-0.03248,-0.05770,-0.74179,-0.02928,
1642650007099650048,0.13273,-0.23238,-0.06334,0.95403,0.19001,0.22667,-0.04848,-0.05509,-0.75195,-0.08569,
1642650007132983552,0.12583,-0.25329,-0.07220,0.94953,0.20664,0.22750,-0.06272,-0.04935,-0.76583,-0.14449,
1642650007266316800,0.11514,-0.31294,-0.11072,0.92693,0.25366,0.24724,-0.12379,-0.03389,-0.75550,-0.28602,
1642650007332983552,0.11502,-0.35918,-0.13122,0.91275,0.26470,0.26305,-0.16621,-0.04766,-0.76979,-0.32335,
1642650007399650304,0.11160,-0.41365,-0.15143,0.89761,0.26780,0.27863,-0.21199,-0.08438,-0.80389,-0.32801,
1642650007466317056,0.10721,-0.46267,-0.17155,0.88140,0.26504,0.29421,-0.25753,-0.12447,-0.82001,-0.29282,
1642650007499650304,0.10739,-0.47801,-0.17555,0.87343,0.26110,0.30192,-0.27889,-0.12349,-0.79466,-0.25493,
1642650007599650048,0.09685,-0.54883,-0.19287,0.85117,0.24289,0.32057,-0.33725,-0.13454,-0.69694,-0.13544,
1642650007832983552,0.07781,-0.65118,-0.17696,0.82230,0.12333,0.32386,-0.45136,-0.01809,-0.12914,0.20926,
1642650007866316800,0.08081,-0.65291,-0.16759,0.82265,0.10127,0.31998,-0.45892,0.01850,-0.04253,0.23055,
1642650007999650304,0.09362,-0.63632,-0.13655,0.83473,0.01213,0.30089,-0.46102,0.15785,0.24015,0.20916,
1642650008066316800,0.10386,-0.61618,-0.12530,0.84416,-0.03139,0.29297,-0.44785,0.21144,0.35681,0.14234,
1642650008132983552,0.10608,-0.57497,-0.12455,0.85489,-0.07557,0.28382,-0.42766,0.22195,0.50645,0.04073,
1642650008199650304,0.11539,-0.53755,-0.12937,0.86666,-0.11270,0.27955,-0.39755,0.24965,0.59810,-0.06842,
