time,x,y,z,qw,qx,qy,qz,vx,vy,vz,
1642647815728760832,-0.00851,0.01149,0.00395,0.95850,-0.04968,0.27649,0.04867,0.00395,0.02203,-0.00360,
1642647815795427584,-0.00769,0.01241,0.00454,0.95567,-0.05163,0.28467,0.05477,0.00564,0.01232,-0.00458,
1642647815928760832,-0.00744,0.01504,0.00375,0.95449,-0.05311,0.28659,0.06315,0.00283,0.00948,-0.00455,
1642647815995427584,-0.00695,0.01615,0.00471,0.95415,-0.05316,0.28683,0.06713,0.00480,0.00672,0.00034,
1642647816095427584,-0.00687,0.01762,0.00576,0.95470,-0.05003,0.28443,0.07174,-0.00171,0.00729,0.00499,
1642647816195427328,-0.00781,0.02005,0.00623,0.95715,-0.04818,0.27517,0.07635,-0.00824,0.01759,0.00578,
1642647816328760832,-0.00858,0.02043,0.00386,0.95476,-0.05315,0.27896,0.08822,-0.01222,0.00993,-0.00762,
1642647816395427584,-0.00977,0.02444,0.00563,0.95651,-0.05305,0.27190,0.09140,-0.01566,0.02261,-0.00115,
1642647816562094336,-0.01053,0.02875,0.00622,0.95697,-0.06314,0.26245,0.10646,-0.00721,0.02771,-0.00390,
1642647816595427584,-0.01136,0.03044,0.00765,0.95745,-0.06112,0.26032,0.10859,-0.01157,0.03295,-0.00011,
1642647816695427328,-0.01209,0.03233,0.00718,0.95557,-0.06508,0.26190,0.11853,-0.01475,0.02764,0.00209,
1642647816828760832,-0.01533,0.03524,0.00679,0.95496,-0.06509,0.25965,0.12808,-0.02403,0.01865,0.00389,
1642647816895427584,-0.01625,0.03714,0.00672,0.95423,-0.07065,0.25804,0.13365,-0.01699,0.02233,0.00297,
1642647816995427584,-0.01728,0.04010,0.00572,0.95327,-0.07747,0.25616,0.14017,-0.01174,0.02444,-0.00067,
1642647817095427584,-0.01920,0.04180,0.00468,0.95286,-0.07873,0.25485,0.14458,-0.01459,0.01397,-0.00385,
1642647817195427328,-0.02015,0.04315,0.00521,0.95180,-0.08178,0.25490,0.14974,-0.00502,0.01181,-0.00507,
1642647817295427584,-0.02016,0.04546,0.00671,0.95106,-0.08319,0.25484,0.15367,0.00085,0.01192,0.00237,
1642647817495427584,-0.02115,0.04621,0.00721,0.94872,-0.08485,0.25760,0.16240,-0.00254,0.00479,0.00104,
1642647817528760832,-0.02343,0.05069,0.00782,0.94939,-0.08481,0.25489,0.16277,-0.00992,0.02262,0.00352,
1642647817628760832,-0.02499,0.05180,0.00847,0.94817,-0.08598,0.25599,0.16749,-0.01075,0.01612,0.00992,
1642647817728760832,-0.02634,0.05289,0.00883,0.94756,-0.08562,0.25546,0.17190,-0.01170,0.01890,0.00868,
1642647817795427584,-0.02825,0.05285,0.00778,0.94708,-0.08505,0.25537,0.17492,-0.01567,0.01377,0.00645,
1642647817895427584,-0.03184,0.05490,0.00599,0.94693,-0.08535,0.25298,0.17898,-0.02371,0.01876,0.00035,
1642647818028760832,-0.03651,0.05819,0.00556,0.94655,-0.08595,0.25070,0.18386,-0.03005,0.01668,0.00008,
1642647818095427584,-0.03818,0.05930,0.00504,0.94631,-0.08651,0.24957,0.18636,-0.03027,0.01444,-0.00155,
1642647818195427328,-0.04004,0.06104,0.00738,0.94606,-0.08661,0.24760,0.19017,-0.02542,0.01230,0.00399,
1642647818295427584,-0.04193,0.06208,0.00870,0.94525,-0.08632,0.24674,0.19539,-0.02413,0.01526,0.00455,
1642647818428760832,-0.04527,0.06569,0.00983,0.94388,-0.08716,0.24599,0.20244,-0.02568,0.02438,0.00246,
1642647818595427584,-0.04881,0.06937,0.00978,0.94186,-0.08870,0.24427,0.21300,-0.02465,0.02520,0.00018,
1642647818628760832,-0.04984,0.06897,0.00810,0.94144,-0.08906,0.24355,0.21551,-0.02361,0.02369,-0.00452,
1642647818695427328,-0.05117,0.07102,0.00893,0.94049,-0.08962,0.24323,0.21974,-0.01875,0.02259,-0.00188,
1642647818828760832,-0.05531,0.07422,0.01013,0.93875,-0.08952,0.24240,0.22797,-0.02377,0.02218,0.00203,
1642647818895427584,-0.05811,0.07709,0.01069,0.93800,-0.09039,0.24128,0.23189,-0.02790,0.02764,0.00326,
1642647819028760832,-0.06232,0.08080,0.01090,0.93652,-0.09271,0.23976,0.23842,-0.02744,0.02605,0.00141,
1642647819128760832,-0.06535,0.08389,0.01088,0.93524,-0.09474,0.23875,0.24360,-0.02824,0.03066,-0.00216,
1642647819195427328,-0.06743,0.08755,0.01258,0.93399,-0.09713,0.23879,0.24741,-0.02774,0.03984,0.00502,
1642647819328760832,-0.07033,0.09164,0.01267,0.93138,-0.10047,0.23870,0.25584,-0.02919,0.02998,0.00497,
1642647819462094080,-0.07436,0.09609,0.01317,0.92947,-0.10337,0.23616,0.26388,-0.03093,0.03346,0.00589,
1642647819528760832,-0.07639,0.09856,0.01413,0.92824,-0.10570,0.23538,0.26795,-0.02911,0.03601,0.00452,
1642647819595427584,-0.07927,0.09997,0.01264,0.92723,-0.10760,0.23408,0.27179,-0.03125,0.02922,-0.00376,
1642647819695427328,-0.08245,0.10272,0.01178,0.92589,-0.11125,0.23191,0.27671,-0.03151,0.02382,-0.00389,
1642647819795427584,-0.08489,0.10386,0.01095,0.92455,-0.11375,0.23036,0.28143,-0.02386,0.01753,-0.00615,
1642647819895427584,-0.08707,0.10688,0.01029,0.92276,-0.11721,0.23016,0.28600,-0.01815,0.02524,-0.00645,
1642647819995427328,-0.08899,0.11019,0.01119,0.92063,-0.12103,0.23054,0.29093,-0.02304,0.02229,-0.00192,
1642647820095427584,-0.09138,0.11245,0.01125,0.91852,-0.12401,0.23059,0.29626,-0.02340,0.01729,-0.00070,
