time,x,y,z,qw,qx,qy,qz,vx,vy,vz,
1642689804215834368,-0.00185,0.03101,0.00842,0.95441,0.08560,0.28448,0.02908,-0.03773,0.18898,0.03183,
1642689804315834624,-0.00656,0.04542,0.00827,0.95305,0.07041,0.28769,0.06301,-0.04333,0.17038,0.01081,
1642689804415834368,-0.01126,0.05942,0.00276,0.95032,0.04087,0.29030,0.10465,-0.04274,0.15172,-0.02425,
1642689804482501120,-0.01459,0.06944,0.00008,0.94973,0.02016,0.28267,0.13305,-0.03767,0.14480,-0.03895,
1642689804615834368,-0.02000,0.09108,-0.00443,0.94315,-0.01298,0.27265,0.18965,-0.02592,0.14795,-0.06112,
1642689804815834624,-0.02224,0.12029,-0.01705,0.91904,-0.06102,0.27880,0.27188,0.00088,0.12815,-0.08968,
1642689804849167872,-0.02130,0.12088,-0.02086,0.91355,-0.06937,0.28149,0.28527,0.00803,0.10820,-0.09056,
1642689804949167616,-0.02095,0.12780,-0.03135,0.89710,-0.08820,0.28910,0.32227,0.01526,0.06295,-0.10241,
1642689804982501120,-0.02105,0.14012,-0.02835,0.89263,-0.09869,0.28660,0.33367,0.02319,0.09092,-0.08372,
1642689805149167872,-0.04679,0.16825,-0.02137,0.87497,-0.11357,0.28042,0.37802,-0.03433,0.08408,-0.06558,
1642689805215834368,-0.03851,0.16788,-0.03015,0.86538,-0.11886,0.28755,0.39281,0.02594,0.04509,-0.08449,
1642689805282501120,-0.02913,0.18277,-0.03272,0.85495,-0.12921,0.30008,0.40288,0.11216,0.06552,-0.08503,
1642689805415834368,-0.01958,0.17351,-0.05042,0.84302,-0.12777,0.33102,0.40425,0.18023,-0.01876,-0.13029,
1642689805482501120,-0.01328,0.17045,-0.05689,0.84193,-0.12252,0.34657,0.39501,0.18746,-0.06586,-0.12841,
1642689805582501120,0.00444,0.16385,-0.07020,0.84178,-0.11179,0.37092,0.37593,0.21528,-0.12464,-0.13154,
1642689805682501120,0.02143,0.15185,-0.08474,0.84567,-0.09537,0.39104,0.35047,0.20879,-0.17684,-0.11354,
1642689805849167872,0.07027,0.11169,-0.09278,0.86041,-0.06213,0.41281,0.29225,0.23483,-0.27922,-0.03482,
1642689805882501120,0.08275,0.10415,-0.08961,0.86391,-0.05440,0.41549,0.27942,0.24989,-0.28656,-0.01866,
1642689806149167872,0.13235,0.02270,-0.08658,0.89548,0.02150,0.40892,0.17444,0.13750,-0.32084,0.02594,
1642689806215834368,0.13933,0.00201,-0.08685,0.90347,0.03642,0.40049,0.14837,0.09708,-0.29453,0.03562,
1642689806249167616,0.13473,-0.00912,-0.09207,0.90809,0.04303,0.39316,0.13762,0.05459,-0.28668,0.03395,
1642689806282501120,0.12543,-0.00759,-0.08533,0.91218,0.04757,0.38711,0.12577,0.01547,-0.24819,0.05521,
1642689806382501120,0.11458,0.00270,-0.05313,0.92440,0.05499,0.36353,0.10155,-0.05871,-0.11532,0.12120,
1642689806549167872,0.10884,-0.00659,-0.03938,0.94394,0.06258,0.31228,0.08690,-0.11729,0.03068,0.10139,
