time,x,y,z,qw,qx,qy,qz,vx,vy,vz,
1642689270266597120,-0.01237,0.00007,0.00022,0.94832,0.03604,0.31522,0.00526,-0.00229,-0.00465,-0.00137,
1642689270366597120,-0.03252,0.00060,-0.00342,0.94975,0.03243,0.31118,0.00964,-0.03256,-0.00378,-0.01457,
1642689270466597120,-0.03208,-0.00118,-0.00466,0.95135,0.02809,0.30654,0.01343,-0.01882,-0.01251,-0.01830,
1642689270633263872,-0.02825,0.00015,-0.00369,0.95361,0.02606,0.29933,0.01843,-0.00915,-0.00238,-0.01272,
1642689270666597120,-0.02062,-0.00195,-0.00148,0.95439,0.02715,0.29668,0.01978,0.00334,-0.00435,-0.00998,
1642689270766597120,-0.01793,-0.00117,-0.00099,0.95271,0.03321,0.30143,0.01950,0.01520,-0.01042,-0.01619,
1642689270899930368,-0.01563,-0.00248,-0.00120,0.95358,0.02871,0.29881,0.02387,0.02650,-0.00569,-0.00761,
1642689270966597120,-0.01659,-0.00322,-0.00020,0.95507,0.01729,0.29443,0.02925,0.01993,-0.00701,0.00400,
1642689271066597120,-0.01610,-0.00566,-0.00022,0.95561,0.00949,0.29227,0.03592,0.01198,-0.01653,0.00641,
1642689271166597120,-0.01510,-0.00753,-0.00011,0.95589,0.00644,0.29082,0.04072,0.00589,-0.01840,0.00523,
1642689271266597120,-0.01561,-0.00856,-0.00093,0.95804,0.00694,0.28327,0.04317,0.00122,-0.00094,0.00020,
1642689271366597120,-0.01526,-0.00896,-0.00094,0.95940,0.00847,0.27828,0.04526,-0.00140,-0.00277,0.00449,
1642689271466597120,-0.01665,-0.00917,-0.00125,0.96110,0.01116,0.27180,0.04791,-0.00259,-0.00339,0.00113,
1642689271566597120,-0.01579,-0.01031,-0.00175,0.96005,0.01222,0.27485,0.05102,0.00832,-0.00609,-0.00227,
1642689271666597120,-0.01509,-0.01095,-0.00165,0.95976,0.01099,0.27523,0.05470,0.00715,-0.00554,0.00190,
1642689271799930368,-0.01419,-0.01151,-0.00146,0.96078,0.01295,0.27093,0.05772,0.00977,-0.00364,0.00117,
1642689271866597120,-0.03398,0.02136,0.00620,0.95748,0.02538,0.28226,0.05404,0.00638,0.00901,0.00242,
1642689271966597120,-0.01483,0.03023,0.00444,0.95538,0.02591,0.28928,0.05373,0.01896,0.02251,-0.00195,
1642689272066597120,-0.01546,0.03750,0.00558,0.95350,0.02013,0.29534,0.05657,0.01740,0.02067,0.00104,
