time,x,y,z,qw,qx,qy,qz,vx,vy,vz,
1642669400142867200,-0.00242,0.07876,-0.09293,0.94903,0.00823,0.28450,-0.13544,-0.66468,0.14065,-0.53503,
1642669400209533696,0.01096,0.18312,-0.12843,0.93821,0.01330,0.29942,-0.17299,-0.70843,0.34185,-0.19468,
1642669400276200448,-0.12555,-0.03781,-0.12380,0.93899,0.05589,0.28030,-0.19130,-0.94260,0.07301,0.14778,
1642669400309533952,-0.04691,0.23671,-0.10757,0.94528,0.02967,0.26757,-0.18429,-0.74315,0.70561,0.25499,
1642669400376200448,-0.14115,0.24885,-0.08783,0.95805,0.01832,0.21707,-0.18626,-0.78278,0.79012,0.35116,
1642669400509533952,-0.23879,0.34916,-0.03894,0.96442,-0.00099,0.15643,-0.21311,-0.83657,0.47131,0.22013,
1642669400576200448,-0.30710,0.36598,-0.02942,0.95800,0.00541,0.14187,-0.24916,-0.98377,0.24985,-0.00088,
1642669400709533696,-0.44580,0.40095,-0.05580,0.93580,0.06038,0.12103,-0.32556,-1.20205,0.01243,-0.44291,
1642669400742867200,-0.49883,0.42745,-0.06813,0.92689,0.08510,0.12399,-0.34389,-1.20276,0.05136,-0.53930,
1642669400776200448,-0.54149,0.45199,-0.09106,0.91709,0.10741,0.12951,-0.36143,-1.17101,0.12273,-0.64113,
1642669400842867200,-0.61297,0.46565,-0.14264,0.89324,0.15211,0.15547,-0.39346,-1.04814,0.25123,-0.79706,
1642669400976200448,-0.74185,0.53724,-0.25900,0.84279,0.24380,0.23065,-0.42080,-0.72908,0.78856,-0.83689,
1642669401042867200,-0.79845,0.61146,-0.31289,0.83154,0.26670,0.26276,-0.41032,-0.52432,1.07951,-0.63362,
1642669401209533696,-0.88818,0.82758,-0.35156,0.85275,0.23494,0.28852,-0.36657,-0.29358,1.33544,0.16135,
1642669401376200448,-0.96199,1.08183,-0.32566,0.89124,0.15177,0.21236,-0.37089,-0.67467,1.53553,0.06907,
1642669401409533696,-1.05778,1.14283,-0.32559,0.88928,0.13502,0.19007,-0.39347,-0.83394,1.52474,-0.00233,
1642669401476200448,-1.15281,1.24624,-0.33085,0.87241,0.11856,0.15836,-0.44695,-0.92611,1.36342,-0.12168,
1642669401509533952,-1.19161,1.28317,-0.33820,0.86154,0.11655,0.14753,-0.47160,-0.92250,1.25994,-0.18276,
1642669401542867200,-1.20447,1.32872,-0.34239,0.84936,0.11666,0.14082,-0.49513,-0.86205,1.19577,-0.24220,
1642669401842867200,-1.34072,1.65808,-0.55336,0.65224,0.24730,0.22322,-0.68088,-0.14335,1.15941,-0.99325,
1642669401876200448,-1.27259,1.69555,-0.58887,0.64480,0.26993,0.23695,-0.67471,0.09972,1.19373,-0.95596,
1642669401909533696,-1.24717,1.75183,-0.62530,0.64089,0.28878,0.24996,-0.66587,0.30748,1.23764,-0.89697,
1642669401942866944,-1.23758,1.81003,-0.65816,0.63912,0.30157,0.26315,-0.65676,0.47441,1.27238,-0.79636,
1642669401976200448,-1.23035,1.87228,-0.68660,0.64107,0.30709,0.27712,-0.64648,0.60517,1.30401,-0.67136,
1642669402009533952,-1.19661,1.90137,-0.70534,0.64550,0.30504,0.29312,-0.63590,0.74561,1.26817,-0.51623,
1642669402109533696,-1.10306,2.01843,-0.73135,0.67314,0.26624,0.32862,-0.60664,0.91324,1.28336,-0.09549,
1642669402242866944,-0.99070,2.20365,-0.72429,0.71285,0.17715,0.34024,-0.58710,0.83331,1.33123,0.12991,
1642669402309533952,-0.92880,2.28263,-0.71499,0.70844,0.14199,0.33282,-0.60595,0.79384,1.25275,0.08225,
1642669402576200448,-0.71155,2.53658,-0.79225,0.61890,0.12762,0.25937,-0.73035,0.79812,0.68751,-0.74928,
1642669402809533952,-0.42665,2.75104,-0.99385,-0.45042,-0.23469,-0.35057,0.78686,1.65598,1.18153,-0.69232,
1642669402842867200,-0.33843,2.74852,-0.99735,-0.43445,-0.22826,-0.35944,0.79370,1.80801,1.14081,-0.53670,
1642669402976200448,-0.05217,2.90481,-1.04107,-0.40248,-0.18224,-0.35171,0.82529,2.33996,1.07998,-0.18142,
1642669403176200448,0.50253,3.10505,-1.07543,-0.40638,-0.04375,-0.30525,0.86010,2.98858,0.82124,-0.29456,
1642669403209533696,0.62152,3.18830,-1.08983,-0.41108,-0.01745,-0.29439,0.86258,3.06301,0.82337,-0.41060,
1642669403242866944,0.73703,3.22649,-1.10851,-0.41639,0.00709,-0.28266,0.86410,3.11023,0.77648,-0.54489,
1642669403409533696,1.27488,3.32911,-1.24931,-0.45531,0.05636,-0.22329,0.86003,3.20383,0.25495,-1.09113,
1642669403509533952,1.60125,3.32723,-1.36692,-0.45527,0.01240,-0.20938,0.86530,3.34946,-0.14656,-1.34386,
1642669403609533696,1.96197,3.31419,-1.51575,-0.42531,-0.07396,-0.22227,0.87421,3.68299,-0.21592,-1.57678,
1642669403642867200,2.10012,3.30355,-1.56291,-0.41741,-0.10691,-0.22883,0.87291,3.85826,-0.21587,-1.64360,
1642669403676200448,2.25000,3.30862,-1.62055,-0.40770,-0.14038,-0.23721,0.87052,4.05863,-0.19113,-1.70130,
1642669403776200448,2.70959,3.32279,-1.80059,-0.37379,-0.22206,-0.26248,0.86144,4.74486,0.00343,-1.83384,
1642669403942866944,3.59269,3.35310,-2.09244,-0.30585,-0.26324,-0.27440,0.87285,5.58320,0.32948,-1.60419,
1642669404009533696,3.99903,3.38215,-2.19284,-0.27850,-0.25593,-0.26742,0.88624,5.82032,0.39602,-1.38381,
1642669404076200448,4.40009,3.41107,-2.27878,-0.25231,-0.23731,-0.25299,0.90334,6.01099,0.43079,-1.19217,
1642669404142867200,4.82641,3.44575,-2.35364,-0.22464,-0.20525,-0.22882,0.92469,6.18754,0.41126,-1.05958,
1642669404209533696,5.25176,3.45505,-2.42254,-0.20401,-0.16674,-0.18868,0.94603,6.31707,0.34193,-1.02357,
