time,x,y,z,qw,qx,qy,qz,vx,vy,vz,
1642668756470918144,0.09024,-0.02120,-0.04274,0.95182,-0.04531,0.25563,0.16320,0.20741,-0.05426,-0.11466,
1642668756537584896,0.07890,-0.01815,-0.06641,0.95117,-0.04604,0.25184,0.17243,0.16422,-0.08204,-0.12234,
1642668756670918144,0.06931,-0.01483,-0.05871,0.94830,-0.05262,0.25271,0.18464,0.13722,-0.09218,-0.09818,
1642668756704251648,0.05702,-0.01067,-0.05184,0.94769,-0.05474,0.25185,0.18830,0.11313,-0.08882,-0.08171,
1642668756837584896,0.05949,-0.02232,-0.03962,0.94274,-0.05921,0.25370,0.20828,0.12531,-0.11231,-0.06207,
1642668756870918400,0.04728,-0.01422,-0.03983,0.94230,-0.06120,0.25232,0.21133,0.10292,-0.10158,-0.05707,
1642668757004251392,0.06265,-0.02725,-0.02209,0.93720,-0.06809,0.25659,0.22621,0.14704,-0.12090,-0.03201,
1642668757104251648,0.06039,-0.03056,-0.04083,0.93683,-0.07285,0.25532,0.22770,0.11716,-0.14470,-0.04897,
1642668757204251648,0.07030,-0.03702,-0.03803,0.93574,-0.07796,0.25642,0.22928,0.13020,-0.16854,-0.02875,
1642668757304251648,0.07725,-0.05471,-0.04572,0.93634,-0.08051,0.25456,0.22802,0.13149,-0.21706,-0.02653,
1642668757404251648,0.09402,-0.08155,-0.04909,0.93646,-0.07890,0.25291,0.22992,0.16187,-0.26683,-0.02584,
1642668757470918144,0.10945,-0.10374,-0.05124,0.93671,-0.07702,0.25196,0.23056,0.18626,-0.29255,-0.02799,
1642668757604251648,0.14737,-0.15352,-0.05096,0.93837,-0.07263,0.25109,0.22614,0.23955,-0.34529,-0.02954,
1642668757670918144,0.16785,-0.17668,-0.03422,0.93903,-0.07050,0.25097,0.22421,0.27067,-0.36592,-0.01267,
1642668757804251648,0.18826,-0.21549,-0.02693,0.94138,-0.06567,0.24878,0.21816,0.27942,-0.39730,-0.00175,
1642668757870918400,0.18158,-0.23287,-0.01445,0.94338,-0.06248,0.24647,0.21302,0.26730,-0.40719,0.01868,
1642668757970918144,0.18895,-0.25870,-0.00824,0.94594,-0.05952,0.24335,0.20598,0.26211,-0.42044,0.02171,
1642668758070918400,0.21714,-0.29826,-0.00756,0.94852,-0.05594,0.24055,0.19827,0.28742,-0.44870,0.01984,
1642668758170918144,0.22701,-0.32770,-0.00392,0.95113,-0.05124,0.23784,0.19018,0.28749,-0.47328,0.02193,
1642668758270918144,0.25803,-0.37024,0.00487,0.95258,-0.04527,0.23665,0.18582,0.32396,-0.49143,0.02893,
1642668758370918400,0.26374,-0.41270,0.01477,0.95452,-0.03898,0.23441,0.18005,0.32600,-0.51224,0.03284,
1642668758637584896,0.35985,-0.56919,0.02000,0.95964,-0.01843,0.23341,0.15580,0.38266,-0.63002,0.03387,
1642668758670918144,0.33245,-0.58051,0.02832,0.96075,-0.01511,0.23231,0.15090,0.35151,-0.63585,0.04257,
1642668758704251648,0.30088,-0.57814,0.03757,0.96198,-0.01247,0.23082,0.14549,0.31369,-0.62149,0.04976,
1642668758804251648,0.33079,-0.64121,0.04147,0.96446,-0.00228,0.22955,0.13087,0.32468,-0.64962,0.03680,
1642668758904251648,0.31405,-0.67412,0.05231,0.96668,0.00571,0.22855,0.11519,0.29786,-0.63516,0.03370,
1642668759004251392,0.32140,-0.70967,0.05966,0.96792,0.01401,0.22892,0.10259,0.28984,-0.63279,0.04253,
1642668759070918400,0.32345,-0.72999,0.06440,0.96849,0.01963,0.22953,0.09459,0.27933,-0.62180,0.04163,
1642668759204251648,0.34415,-0.79569,0.06921,0.96942,0.03189,0.23151,0.07494,0.26976,-0.63518,0.04762,
