time,x,y,z,qw,qx,qy,qz,vx,vy,vz,
1642661814164448000,0.00368,-0.08585,0.06348,0.96602,0.05732,0.25072,-0.02562,0.02512,-0.59995,0.14260,
1642661814264448256,0.01450,-0.14508,0.06986,0.95853,0.10001,0.26263,-0.04746,0.07712,-0.63955,-0.12233,
1642661814397781248,0.02684,-0.21735,0.01753,0.92353,0.19572,0.31752,-0.08929,0.06136,-0.30233,-0.56557,
1642661814497781504,0.02833,-0.21504,-0.03991,0.89637,0.21353,0.37508,-0.10123,-0.00141,0.35237,-0.47783,
1642661814564448000,0.02689,-0.18178,-0.06382,0.89097,0.18711,0.40601,-0.07951,-0.04204,0.65240,-0.23804,
1642661814697781248,0.01469,-0.09016,-0.05772,0.90317,0.10964,0.41361,0.03462,-0.15829,0.66820,0.31211,
1642661814764448256,0.00086,-0.04778,-0.03133,0.91435,0.07522,0.38884,0.08429,-0.27409,0.59324,0.46009,
1642661814864448000,-0.03065,0.00500,0.02077,0.93747,0.03131,0.32626,0.11717,-0.45388,0.44387,0.39986,
1642661814964448000,-0.07359,0.04073,0.04968,0.95095,-0.03847,0.26794,0.14974,-0.45330,0.31402,0.05925,
1642661815131114752,-0.11507,0.05004,0.00203,0.93537,-0.18721,0.25559,0.15720,0.01200,-0.17433,-0.48113,
1642661815164448000,-0.12103,0.02602,-0.03110,0.93255,-0.20752,0.25823,0.14354,0.12927,-0.31344,-0.50706,
1642661815331114752,-0.07249,-0.07719,-0.11241,0.91627,-0.24569,0.31275,0.04767,0.42541,-0.86879,-0.13862,
1642661815364448000,-0.05997,-0.10812,-0.11312,0.91769,-0.23935,0.31653,0.01881,0.40049,-0.97720,0.01167,
1642661815464448000,-0.02433,-0.21554,-0.09003,0.92919,-0.18498,0.31516,-0.05536,0.26060,-1.13247,0.34834,
1642661815564448000,-0.00941,-0.32495,-0.05562,0.94234,-0.07840,0.30831,-0.10390,0.09516,-1.00106,0.26833,
1642661815664448000,0.03250,-0.38695,-0.01551,0.93813,0.04061,0.30984,-0.14921,0.11307,-0.51833,0.06888,
1642661815764448256,0.03192,-0.30249,0.02054,0.92728,0.12294,0.31507,-0.16054,0.24156,0.24650,0.08401,
1642661815864448000,0.03041,-0.19788,0.03816,0.93283,0.13930,0.31350,-0.11020,0.28673,0.82904,0.30901,
1642661816064448000,0.03938,-0.01202,0.09167,0.95262,0.05595,0.29790,-0.02527,-0.30169,0.79727,0.06649,
1642661816097781504,0.02853,0.01049,0.09383,0.95555,0.03994,0.29122,-0.02278,-0.39253,0.68266,-0.04048,
1642661816164448000,-0.00138,0.04678,0.08529,0.96013,0.00906,0.27892,-0.01632,-0.45968,0.41526,-0.20881,
1642661816264448256,-0.04442,0.06893,0.05604,0.95791,-0.02754,0.28564,0.00750,-0.37539,0.05913,-0.36660,
1642661816364448000,-0.07122,0.04291,0.01659,0.95153,-0.04516,0.30391,0.01401,-0.13675,-0.17014,-0.41720,
1642661816497781504,-0.07026,-0.08064,-0.02727,0.94555,-0.04067,0.32264,-0.01361,0.39344,-0.32334,-0.07376,
1642661816564448000,-0.04335,-0.09301,-0.02601,0.94167,-0.04452,0.33199,-0.03244,0.45914,-0.16081,0.18629,
1642661816731114752,-0.00458,-0.07446,0.03822,0.94787,-0.06298,0.30488,-0.06800,-0.10361,0.31934,0.45573,
1642661816764448256,-0.01116,-0.05662,0.05324,0.95345,-0.06897,0.28567,-0.06754,-0.20795,0.41926,0.42409,
1642661816864448000,-0.04118,0.02258,0.08643,0.96688,-0.10991,0.22560,-0.04658,-0.33979,0.68127,0.17379,
1642661816997781248,-0.07712,0.13283,0.07894,0.96537,-0.19285,0.17567,0.00114,-0.14187,0.93231,-0.30492,
1642661817064448000,-0.11495,0.20330,0.03300,0.95551,-0.24540,0.16353,-0.00516,-0.05075,1.04067,-0.56100,
1642661817197781248,-0.10485,0.33218,-0.06546,0.90976,-0.36349,0.19999,-0.01475,0.19125,0.83031,-0.88383,
1642661817264448256,-0.09236,0.38088,-0.12388,0.88149,-0.40926,0.23480,-0.01843,0.17486,0.60848,-0.95631,
1642661817431114752,-0.08293,0.46037,-0.23882,0.81732,-0.50330,0.27281,-0.06512,-0.10731,0.31019,-0.27371,
1642661817464448000,-0.08985,0.47885,-0.23910,0.81312,-0.51232,0.26780,-0.06817,-0.17246,0.28406,0.01635,
1642661817697781248,-0.14547,0.48697,-0.08464,0.89619,-0.39458,0.20081,-0.02862,-0.24723,-0.48577,0.77082,
1642661817731114752,-0.14634,0.47002,-0.04779,0.90886,-0.36761,0.19569,-0.02348,-0.18718,-0.61485,0.70044,
1642661817764448256,-0.14242,0.43778,-0.01738,0.92004,-0.33965,0.19431,-0.02026,-0.11850,-0.74157,0.58983,
1642661817864448000,-0.14733,0.35028,0.01962,0.94397,-0.26252,0.19888,-0.02132,0.09923,-0.87008,0.12615,
1642661818131114752,-0.04269,0.15758,-0.05812,0.90383,-0.18127,0.38590,-0.03627,0.22560,-0.81957,-0.04040,
