time,x,y,z,qw,qx,qy,qz,vx,vy,vz,
1642661142936530176,0.07177,0.07831,0.11712,0.96622,0.00292,0.25162,-0.05574,0.05177,0.02070,-0.05034,
1642661143003196672,0.07343,0.07940,0.11176,0.96572,0.00171,0.25438,-0.05180,0.05293,0.00349,-0.05770,
1642661143136530176,0.08028,0.07696,0.10265,0.96364,0.00417,0.26233,-0.05061,0.07303,-0.02466,-0.06299,
1642661143203196672,0.08512,0.07504,0.09787,0.96236,0.00645,0.26713,-0.04956,0.07819,-0.02862,-0.06358,
1642661143303196928,0.09313,0.07252,0.09152,0.96029,0.00626,0.27475,-0.04807,0.07790,-0.01885,-0.06537,
1642661143403196928,0.10069,0.07068,0.08436,0.95880,0.00357,0.28012,-0.04716,0.07577,-0.01990,-0.07672,
1642661143569863680,0.11326,0.07061,0.07189,0.95641,-0.00298,0.28875,-0.04352,0.06179,0.00227,-0.06652,
1642661143603196928,0.11510,0.07076,0.06989,0.95601,-0.00375,0.29023,-0.04234,0.05554,-0.00073,-0.06067,
1642661143736530176,0.11937,0.06963,0.06325,0.95541,-0.00556,0.29383,-0.02875,0.02068,-0.01026,-0.04939,
1642661143836530176,0.12093,0.06878,0.05848,0.95572,-0.00718,0.29338,-0.02197,0.01095,-0.00541,-0.04371,
1642661143903196928,0.12138,0.06806,0.05548,0.95566,-0.00807,0.29373,-0.01949,0.00310,-0.01080,-0.04464,
1642661144003196672,0.12138,0.06652,0.05056,0.95537,-0.00798,0.29515,-0.00942,-0.00446,-0.02407,-0.05231,
1642661144103196928,0.12031,0.06322,0.04466,0.95548,-0.01166,0.29484,0.00027,-0.01229,-0.03282,-0.06796,
1642661144203196672,0.11906,0.05953,0.03833,0.95578,-0.01729,0.29353,0.00424,-0.01495,-0.04470,-0.06741,
1642661144303196928,0.11704,0.05443,0.03152,0.95635,-0.02163,0.29131,0.00801,-0.01394,-0.06029,-0.06908,
1642661144403196928,0.11600,0.04892,0.02484,0.95655,-0.02443,0.29040,0.00945,-0.00558,-0.05604,-0.05958,
1642661144603196928,0.11517,0.03896,0.01257,0.95561,-0.02672,0.29315,0.01253,-0.00263,-0.05337,-0.06628,
1642661144636530176,0.11491,0.03730,0.01024,0.95544,-0.02687,0.29369,0.01260,-0.00426,-0.05278,-0.06844,
1642661144703196672,0.11472,0.03445,0.00521,0.95514,-0.02734,0.29464,0.01176,-0.00483,-0.04685,-0.07288,
1642661144803196928,0.11424,0.03089,-0.00307,0.95438,-0.03023,0.29689,0.00969,-0.00101,-0.02527,-0.09305,
1642661144903196928,0.11364,0.02910,-0.01313,0.95350,-0.03621,0.29911,0.00710,-0.00384,-0.01812,-0.10472,
1642661145003196672,0.11285,0.02785,-0.02400,0.95241,-0.04178,0.30185,0.00723,-0.00684,-0.02006,-0.10017,
1642661145203196672,0.11159,0.02336,-0.04138,0.94985,-0.04360,0.30929,0.01488,-0.00980,-0.02980,-0.07726,
1642661145236530176,0.11092,0.02234,-0.04404,0.94958,-0.04321,0.31013,0.01590,-0.01074,-0.03095,-0.07528,
1642661145303196928,0.10991,0.02050,-0.04928,0.94906,-0.04280,0.31168,0.01770,-0.01165,-0.02770,-0.07894,
1642661145403196928,0.10890,0.01835,-0.05762,0.94796,-0.04409,0.31475,0.01890,-0.00689,-0.01511,-0.08712,
1642661145536530176,0.10832,0.01649,-0.06867,0.94596,-0.04776,0.31994,0.02259,0.00268,-0.01911,-0.07477,
1642661145603196928,0.10799,0.01549,-0.07342,0.94523,-0.04717,0.32197,0.02570,0.00194,-0.02468,-0.06876,
1642661145703196672,0.10771,0.01351,-0.08012,0.94446,-0.04521,0.32413,0.02993,0.00044,-0.01625,-0.07017,
1642661145803196928,0.10794,0.01269,-0.08688,0.94397,-0.04561,0.32552,0.02975,0.00535,0.00714,-0.06466,
1642661145903196928,0.10865,0.01412,-0.09333,0.94337,-0.04895,0.32671,0.03038,0.00717,0.00759,-0.05991,
1642661146036529920,0.10949,0.01488,-0.10093,0.94290,-0.05285,0.32753,0.02952,0.00481,0.00114,-0.05862,
1642661146136530176,0.10963,0.01482,-0.10751,0.94205,-0.05324,0.32934,0.03518,0.00079,-0.00812,-0.07059,
1642661146236530176,0.10960,0.01378,-0.11487,0.94091,-0.05124,0.33195,0.04315,0.00013,-0.00613,-0.07791,
1642661146303196928,0.10934,0.01311,-0.11986,0.94026,-0.05091,0.33341,0.04647,-0.00310,-0.00484,-0.07651,
1642661146403196928,0.10870,0.01187,-0.12726,0.93957,-0.05032,0.33483,0.05068,-0.00710,-0.00586,-0.07153,
1642661146503196672,0.10814,0.01151,-0.13411,0.93924,-0.04974,0.33559,0.05235,-0.00658,0.00560,-0.07226,
1642661146603196928,0.10796,0.01173,-0.14153,0.93901,-0.05159,0.33618,0.05082,0.00105,-0.00289,-0.07523,
1642661146703196672,0.10857,0.01088,-0.14893,0.93807,-0.05200,0.33826,0.05388,0.01360,-0.01893,-0.06653,
1642661146803196928,0.11033,0.00906,-0.15457,0.93678,-0.05103,0.34125,0.05819,0.02139,-0.01538,-0.04634,
1642661146936530176,0.11262,0.00831,-0.16002,0.93546,-0.05373,0.34487,0.05552,0.00885,0.00747,-0.05017,
1642661147003196672,0.11290,0.00925,-0.16349,0.93506,-0.05763,0.34557,0.05411,-0.00412,0.01470,-0.05609,
1642661147136530176,0.11100,0.01168,-0.17057,0.93568,-0.06286,0.34430,0.04481,-0.02268,0.01120,-0.04816,
1642661147203196672,0.10904,0.01260,-0.17323,0.93599,-0.06344,0.34328,0.04528,-0.02785,0.00104,-0.03316,
1642661147303196928,0.10560,0.01240,-0.17463,0.93694,-0.06004,0.34029,0.05227,-0.03919,-0.00276,-0.00307,
1642661147403196928,0.10143,0.01097,-0.17490,0.93903,-0.05571,0.33503,0.05366,-0.05117,-0.00068,-0.00322,
1642661147503196672,0.09585,0.01142,-0.17557,0.93971,-0.05623,0.33244,0.05716,-0.04404,0.01086,0.00794,
1642661147636530176,0.09029,0.01153,-0.17067,0.94111,-0.05397,0.32717,0.06600,-0.04407,0.00372,0.04665,
1642661147703196672,0.08835,0.01137,-0.16751,0.94242,-0.05182,0.32392,0.06504,-0.03899,0.01615,0.04293,
1642661147803196672,0.08535,0.01377,-0.16411,0.94420,-0.04938,0.31907,0.06522,-0.02885,0.02848,0.02553,
1642661147903196928,0.08395,0.01680,-0.16141,0.94556,-0.04590,0.31564,0.06468,-0.00963,0.03752,0.03549,
1642661148003196672,0.08456,0.02112,-0.15719,0.94658,-0.04056,0.31419,0.06015,0.00975,0.05108,0.05096,
1642661148103196928,0.08625,0.02723,-0.15225,0.94665,-0.03615,0.31551,0.05485,0.00903,0.06951,0.04019,
1642661148203196672,0.08662,0.03571,-0.14944,0.94689,-0.03104,0.31616,0.04987,-0.00682,0.08158,0.02292,
1642661148303196672,0.08533,0.04465,-0.14733,0.94650,-0.02422,0.31734,0.05339,-0.01791,0.09928,0.02451,
1642661148403196928,0.08421,0.05490,-0.14392,0.94683,-0.02111,0.31649,0.05384,-0.01511,0.11752,0.03189,
1642661148569863680,0.08157,0.07563,-0.14030,0.94834,-0.02528,0.31256,0.04810,-0.02400,0.13078,0.03170,
1642661148669863424,0.07988,0.08805,-0.13544,0.95020,-0.02774,0.30765,0.04127,-0.02152,0.11767,0.06009,
1642661148703196672,0.07934,0.09225,-0.13331,0.95086,-0.02811,0.30561,0.04090,-0.02056,0.11538,0.06407,
1642661148869863424,0.07703,0.11307,-0.12269,0.95413,-0.03413,0.29463,0.04086,-0.01051,0.13576,0.06106,
