time,x,y,z,qw,qx,qy,qz,vx,vy,vz,
1642516756759234816,0.02028,0.01632,0.03541,0.97741,0.02940,0.20838,-0.01978,0.05394,0.10231,0.22804,
1642516756859235072,0.02537,0.03055,0.05550,0.98102,0.02862,0.19121,-0.01463,0.04187,0.16626,0.17749,
1642516756959235072,0.02945,0.04974,0.06175,0.97916,0.02208,0.20166,0.00932,0.01686,0.19436,0.00845,
1642516757059234816,0.03115,0.06838,0.04621,0.97202,0.00761,0.23034,0.04542,-0.01647,0.18880,-0.23493,
1642516757159235072,0.02960,0.08136,0.00936,0.96053,-0.01373,0.27004,0.06538,-0.04660,0.08166,-0.46912,
1642516757259234816,0.02689,0.08005,-0.04244,0.94713,-0.03577,0.31007,0.07429,-0.03418,-0.12123,-0.58802,
1642516757359235072,0.02641,0.05437,-0.09783,0.93259,-0.05376,0.35092,0.06515,-0.02232,-0.39543,-0.53467,
1642516757492568320,0.03315,-0.02279,-0.13847,0.92311,-0.07295,0.37703,0.01991,0.08264,-0.74066,-0.10337,
1642516757592568320,0.04460,-0.09894,-0.12274,0.92386,-0.06665,0.37644,-0.01819,0.09781,-0.80158,0.29672,
1642516757725901568,0.04414,-0.20620,-0.06088,0.93660,-0.02743,0.34226,-0.06988,-0.02269,-0.86918,0.58089,
1642516757859235072,0.02660,-0.31884,0.01125,0.94271,0.02455,0.29540,-0.15308,-0.18501,-0.83337,0.46202,
1642516757959235072,0.00155,-0.39564,0.04373,0.93404,0.06136,0.26826,-0.22769,-0.24922,-0.71651,0.20641,
1642516757992568320,-0.00796,-0.41664,0.04851,0.92797,0.07249,0.26350,-0.25336,-0.24785,-0.65870,0.10538,
1642516758059234816,-0.02398,-0.45465,0.04965,0.91283,0.09074,0.26229,-0.29952,-0.21246,-0.53690,-0.07165,
1642516758292568320,-0.05278,-0.48984,-0.01148,0.85500,0.12197,0.33657,-0.37526,0.01479,0.30386,-0.31537,
1642516758325901568,-0.05367,-0.46789,-0.04479,0.85135,0.12628,0.35151,-0.36836,0.05751,0.43160,-0.30556,
1642516758459235072,-0.03168,-0.36588,-0.06946,0.86269,0.13060,0.40097,-0.27918,0.24791,1.08541,-0.00445,
1642516758492568320,-0.02881,-0.33190,-0.06819,0.86925,0.12085,0.40724,-0.25288,0.25984,1.21574,0.08486,
1642516758592568320,-0.00482,-0.20240,-0.04976,0.89238,0.08013,0.41717,-0.15234,0.21559,1.41025,0.31970,
1642516758659235072,0.00532,-0.10662,-0.02499,0.90574,0.04726,0.41362,-0.07948,0.14739,1.45609,0.42757,
1642516758759234816,0.01505,0.03152,0.02347,0.92027,-0.00530,0.39119,-0.00642,0.06274,1.25664,0.53817,
1642516758859235072,0.01893,0.13799,0.08179,0.93231,-0.04386,0.35857,0.01769,0.01789,0.84209,0.61292,
1642516758992568320,0.03760,0.13809,0.15781,0.95405,-0.04913,0.29552,0.00610,-0.01585,0.11291,0.57342,
1642516759092568064,0.02763,0.04801,0.19394,0.96527,-0.02967,0.25597,-0.04304,-0.06504,-0.39962,0.40922,
1642516759225901568,0.01321,-0.07423,0.21854,0.96454,0.00430,0.23130,-0.12704,-0.16102,-0.76520,0.04541,
1642516759459235072,-0.06056,-0.43418,0.12726,0.92744,0.01903,0.29037,-0.23490,-0.29126,-0.98691,-0.40059,
1642516759725901568,-0.19588,-0.80098,0.05555,0.83810,0.04941,0.33838,-0.42502,-0.32337,-0.76788,0.28429,
1642516759792568320,-0.22103,-0.84892,0.07814,0.82410,0.05022,0.31700,-0.46674,-0.24410,-0.51337,0.43269,
1642516759825901568,-0.22880,-0.86392,0.09359,0.82005,0.04761,0.30225,-0.48363,-0.16035,-0.38786,0.48150,
1642516759859235072,-0.24539,-0.87649,0.10765,0.81786,0.04433,0.28719,-0.49665,-0.08754,-0.28029,0.51162,
1642516759925901568,-0.10569,-0.72731,0.06665,0.82178,0.03084,0.25717,-0.50753,0.24248,0.19372,0.38837,
1642516759959235072,-0.11101,-0.71430,0.06091,0.82982,0.02786,0.24211,-0.50200,0.26394,0.31688,0.32219,
1642516759992568320,-0.10329,-0.69942,0.06406,0.83992,0.02532,0.22898,-0.49138,0.30584,0.41771,0.26073,
1642516760025901568,-0.10736,-0.68349,0.06541,0.85195,0.02490,0.21685,-0.47596,0.32244,0.49745,0.18279,
1642516760125901824,-0.09268,-0.62050,0.06190,0.88767,0.02633,0.20276,-0.41259,0.39652,0.67047,-0.12203,
1642516760225901568,-0.05191,-0.54744,0.03348,0.91256,0.03216,0.23109,-0.33585,0.45580,0.79908,-0.43283,
1642516760292568320,-0.02705,-0.48988,-0.00251,0.92037,0.03325,0.26485,-0.28577,0.41445,0.93132,-0.59026,
1642516760492568320,0.03327,-0.27394,-0.10815,0.91970,0.00638,0.36508,-0.14432,0.19173,1.17413,-0.27688,
1642516760592568064,0.02847,-0.16063,-0.11629,0.92375,-0.00661,0.37529,-0.07616,0.05605,1.11873,0.10561,
1642516760625901824,0.01570,-0.13188,-0.10980,0.92765,-0.00937,0.37019,-0.04839,0.01565,1.05780,0.22085,
1642516760692568320,0.00938,-0.06618,-0.09118,0.93535,-0.01712,0.35326,-0.00478,0.01046,0.89769,0.39226,
1642516760825901568,0.00482,0.01736,-0.02895,0.95224,-0.02744,0.30127,0.04159,-0.00186,0.35712,0.51466,
1642516760892568320,0.02337,0.00897,0.02034,0.96047,-0.02789,0.27361,0.04310,0.06026,0.04478,0.50523,
1642516761025901568,0.02950,-0.02528,0.07060,0.97290,-0.01242,0.23048,0.01373,0.11700,-0.47485,0.20452,
1642516761092568064,0.03223,-0.07054,0.07599,0.97431,0.00336,0.22481,-0.01301,0.10672,-0.66545,-0.02702,
1642516761159235072,-0.00860,-0.20134,0.05356,0.97237,0.02670,0.22670,-0.04888,-0.02272,-0.92557,-0.30650,
1642516761359234816,-0.02723,-0.42015,-0.05423,0.94050,0.03575,0.29807,-0.15916,-0.20346,-1.18982,-0.67483,
1642516761492568320,-0.05838,-0.58324,-0.13558,0.89390,0.04831,0.35423,-0.27042,-0.35847,-1.26733,-0.39205,
1642516761559234816,-0.08251,-0.66354,-0.15340,0.86933,0.06696,0.36625,-0.32502,-0.38810,-1.12355,-0.13728,
1642516761759234816,-0.14206,-0.82126,-0.12447,0.83779,0.09256,0.31886,-0.43344,-0.12522,-0.49760,0.34101,
1642516761825901568,-0.15064,-0.85478,-0.09559,0.84091,0.09661,0.29539,-0.44303,-0.03687,-0.29200,0.39745,
1642516761892568320,-0.15627,-0.86581,-0.06927,0.85521,0.09716,0.26642,-0.43381,0.00392,-0.03611,0.36627,
1642516761959235072,-0.15652,-0.85921,-0.04888,0.87489,0.09202,0.23443,-0.41369,0.06172,0.17350,0.26415,
1642516762059234816,-0.04867,-0.65090,-0.01899,0.90402,0.06770,0.21339,-0.36418,0.34442,0.64895,-0.00979,
1642516762325901568,0.05387,-0.40419,-0.11466,0.92846,0.05491,0.32229,-0.17629,0.40512,1.17563,-0.51098,
1642516762359234816,0.06646,-0.36331,-0.13529,0.92689,0.05038,0.34047,-0.14970,0.39830,1.22336,-0.45574,
1642516762459235072,0.10600,-0.23864,-0.16033,0.92218,0.03060,0.37951,-0.06803,0.37808,1.26109,-0.07871,
1642516762525901568,0.13017,-0.15762,-0.15552,0.92406,0.01551,0.38123,-0.02303,0.35729,1.13719,0.21445,
1642516762559234816,0.14204,-0.12158,-0.14635,0.92579,0.01175,0.37787,0.00106,0.35510,1.02608,0.32905,
1642516762692568320,0.19011,-0.01361,-0.08766,0.93407,0.00231,0.35022,0.06968,0.33054,0.60706,0.48906,
1642516762759234816,0.22632,0.01806,-0.04767,0.94308,0.00135,0.32503,0.07039,0.41635,0.33930,0.48970,
1642516762859234816,0.26067,0.02885,-0.00698,0.94497,0.02877,0.31197,0.09427,0.53294,0.02336,0.27637,
1642516762992568320,0.32257,0.01382,-0.00990,0.94309,0.05993,0.32006,0.06745,0.50066,-0.22022,-0.26230,
1642516763059234816,0.23463,-0.12524,-0.07367,0.93878,0.08286,0.33071,0.04961,0.34802,-0.52479,-0.51736,
1642516763159235072,0.27183,-0.17887,-0.13461,0.92252,0.08219,0.37698,0.00917,0.33807,-0.55140,-0.66443,
1642516763259234816,0.30372,-0.23680,-0.19675,0.90543,0.05217,0.41719,-0.05856,0.24529,-0.64492,-0.60425,
1642516763359234816,0.32543,-0.30922,-0.24625,0.88367,0.03895,0.45186,-0.11589,0.18086,-0.80158,-0.43020,
1642516763459235072,0.33906,-0.39083,-0.27603,0.85766,0.03791,0.47461,-0.19423,0.06670,-0.83060,-0.19183,
1642516763592568064,0.34623,-0.47908,-0.27270,0.83723,0.06459,0.46212,-0.28518,-0.03059,-0.55756,0.11957,
1642516763659235072,0.34684,-0.50850,-0.25865,0.83473,0.08081,0.44452,-0.31479,0.00509,-0.33757,0.20894,
1642516763792568320,0.36845,-0.52592,-0.21703,0.84485,0.10663,0.40324,-0.33503,0.20418,0.03402,0.35757,
1642516763892568064,0.41557,-0.46907,-0.16255,0.86817,0.10434,0.36460,-0.32011,0.35205,0.39731,0.40859,
1642516763992568320,0.42220,-0.38756,-0.10256,0.89495,0.09189,0.32722,-0.28905,0.36195,0.64745,0.29541,
1642516764092568064,0.45459,-0.31053,-0.09116,0.90927,0.09016,0.32555,-0.24313,0.40328,0.79169,-0.07824,
1642516764192568320,0.47946,-0.22497,-0.13477,0.91116,0.08134,0.35193,-0.19830,0.37272,0.94408,-0.44643,
1642516764259234816,0.49570,-0.16382,-0.17980,0.90623,0.07314,0.38170,-0.16643,0.34374,1.01149,-0.56439,
1642516764392568064,0.53343,-0.03037,-0.24361,0.89036,0.05328,0.44399,-0.08540,0.24711,1.00381,-0.28167,
1642516764559234816,0.56112,0.11112,-0.22433,0.89807,0.01617,0.43939,0.01175,0.08911,0.62876,0.45150,
1642516764592568064,0.56484,0.13113,-0.20590,0.90462,0.00902,0.42529,0.02656,0.07479,0.50001,0.53245,
1642516764859234816,0.59685,0.14108,-0.06954,0.95263,-0.00021,0.30294,0.02702,0.19437,-0.34614,0.19044,
1642516764892568064,0.60588,0.12751,-0.06386,0.95507,0.00380,0.29576,0.01877,0.22086,-0.41612,0.06195,
1642516764925901568,0.61698,0.10845,-0.06472,0.95633,0.00848,0.29202,0.00879,0.25650,-0.48694,-0.07121,
1642516764959235072,0.62412,0.08253,-0.07239,0.95622,0.01453,0.29229,-0.00172,0.28169,-0.56250,-0.20740,
1642516765125901568,0.64278,-0.06919,-0.17891,0.92964,0.03307,0.36070,-0.06770,0.22083,-0.79611,-0.69895,
1642516765159235072,0.64934,-0.09757,-0.20326,0.92108,0.03053,0.37872,-0.08515,0.15367,-0.82335,-0.71840,
1642516765259234816,0.65941,-0.18764,-0.26963,0.89161,0.02222,0.42756,-0.14743,-0.00918,-0.96432,-0.58509,
1642516765392568064,0.65435,-0.32445,-0.31343,0.85588,0.03441,0.45543,-0.24263,-0.13445,-0.99907,-0.07249,
1642516765459235072,0.64567,-0.39221,-0.30128,0.84478,0.04833,0.44091,-0.29934,-0.20427,-0.84659,0.22785,
1642516765559234816,0.62285,-0.45643,-0.26236,0.85120,0.06848,0.38176,-0.35360,-0.23183,-0.43444,0.47867,
1642516765825901568,0.61076,-0.45285,-0.17308,0.90859,0.06943,0.25641,-0.32232,0.09934,0.38522,0.00396,
1642516765892568064,0.62878,-0.42163,-0.18047,0.91924,0.06691,0.26192,-0.28622,0.21215,0.48521,-0.21130,
1642516765925901568,0.64190,-0.40068,-0.19056,0.92205,0.06750,0.27565,-0.26320,0.27112,0.53835,-0.31814,
1642516766025901568,0.67413,-0.33361,-0.23285,0.91764,0.07025,0.34601,-0.18244,0.31139,0.76861,-0.49456,
1642516766092568064,0.69230,-0.26506,-0.26849,0.90905,0.05912,0.39338,-0.12406,0.16178,0.95671,-0.41254,
1642516766159234816,0.69992,-0.20039,-0.28730,0.90514,0.03948,0.41780,-0.06783,-0.04351,1.00758,-0.15241,
1642516766259234816,0.68846,-0.10512,-0.27678,0.91424,0.00980,0.40438,0.02328,-0.20248,0.84067,0.29807,
1642516766392568064,0.66032,-0.02927,-0.21327,0.93604,-0.00259,0.33200,0.11660,-0.20842,0.28472,0.59049,
1642516766492568320,0.64479,-0.01913,-0.15331,0.95448,0.00455,0.26741,0.13205,-0.11591,-0.09863,0.56973,
1642516766592568064,0.64050,-0.04624,-0.10609,0.96987,0.01843,0.22738,0.08548,0.01406,-0.44051,0.33736,
1642516766659234816,0.64475,-0.09617,-0.09099,0.97405,0.03961,0.22031,0.03342,0.06129,-0.71854,0.09479,
1642516766759234816,0.62292,-0.21812,-0.10600,0.96880,0.09746,0.22664,-0.02378,-0.03451,-1.09808,-0.29515,
1642516766959235072,0.55246,-0.42429,-0.21417,0.91539,0.21790,0.28147,-0.18803,-0.32705,-1.35522,-0.68338,
1642516767125901568,0.46326,-0.45085,-0.34020,0.82725,0.30874,0.33694,-0.32682,-0.67368,-1.05634,-0.59437,
1642516767159234816,0.44038,-0.48488,-0.35817,0.80988,0.31529,0.34017,-0.35912,-0.69570,-0.98972,-0.47512,
1642516767192568320,0.41704,-0.51702,-0.37196,0.79462,0.31729,0.34138,-0.38906,-0.70167,-0.94407,-0.35143,
1642516767259234816,0.37090,-0.57630,-0.38738,0.76935,0.31606,0.33859,-0.43996,-0.68010,-0.80931,-0.11575,
