time,x,y,z,qw,qx,qy,qz,vx,vy,vz,
1642515321880882176,0.02965,0.04383,0.01935,0.94355,-0.01475,0.33061,0.01361,0.02158,0.00802,0.03615,
1642515321947549184,0.03135,0.04392,0.02209,0.94457,-0.00951,0.32795,0.01171,0.02354,0.01101,0.04066,
1642515322047548928,0.03404,0.04523,0.02652,0.94603,-0.00543,0.32390,0.00929,0.03312,0.01543,0.04603,
1642515322147548928,0.03774,0.04699,0.03082,0.94730,-0.00133,0.32027,0.00651,0.04055,0.01956,0.04307,
1642515322247549184,0.04157,0.04857,0.03478,0.94784,0.00196,0.31872,0.00462,0.03983,0.01978,0.04295,
1642515322347548928,0.04593,0.05062,0.04016,0.94882,0.00678,0.31575,0.00080,0.04284,0.01774,0.05650,
1642515322447549184,0.04983,0.05238,0.04575,0.95030,0.01058,0.31109,-0.00663,0.03351,0.01885,0.05816,
1642515322547548928,0.05262,0.05516,0.05067,0.95070,0.00778,0.30971,-0.01398,0.02317,0.00965,0.06031,
1642515322647548928,0.05411,0.05639,0.05412,0.94881,0.00396,0.31549,-0.01475,-0.00236,-0.00785,0.05023,
1642515322747549184,0.05137,0.05443,0.05770,0.94940,-0.00392,0.31372,-0.01414,-0.03526,-0.04083,0.03995,
1642515322880882176,0.04502,0.04225,0.06392,0.95083,-0.00327,0.30916,-0.01822,-0.06991,-0.12444,0.04206,
1642515322947548928,0.04011,0.03143,0.06717,0.95189,-0.00289,0.30592,-0.01754,-0.07409,-0.17557,0.04807,
1642515323047548928,0.03158,0.00905,0.07165,0.95337,0.00155,0.30126,-0.01836,-0.09292,-0.23634,0.03569,
1642515323147548928,0.02123,-0.01666,0.07466,0.95375,-0.00242,0.29992,-0.01999,-0.11492,-0.27978,0.02594,
1642515323247549184,0.00889,-0.04721,0.07651,0.95462,-0.00150,0.29700,-0.02230,-0.12973,-0.31887,0.02273,
1642515323447548928,-0.01800,-0.11464,0.08042,0.95633,0.00171,0.29128,-0.02421,-0.13575,-0.34242,0.00893,
1642515323514215680,-0.02719,-0.13822,0.08175,0.95730,-0.00055,0.28811,-0.02399,-0.13346,-0.34325,0.00558,
1642515323580882432,-0.03590,-0.16128,0.08231,0.95703,-0.00296,0.28914,-0.02180,-0.12733,-0.34008,0.00141,
1642515323647548928,-0.04410,-0.18300,0.08260,0.95717,-0.00448,0.28887,-0.01878,-0.12818,-0.33272,-0.00516,
1642515323814215680,-0.06566,-0.23546,0.08304,0.95741,-0.00496,0.28778,-0.02288,-0.12040,-0.30133,-0.00190,
1642515323847548928,-0.06928,-0.24432,0.08254,0.95706,-0.00441,0.28888,-0.02395,-0.11062,-0.29340,-0.00599,
1642515323980882432,-0.08161,-0.28330,0.08126,0.95733,0.00142,0.28732,-0.03105,-0.07221,-0.29905,-0.02586,
1642515324047548928,-0.08566,-0.30279,0.07947,0.95709,0.00732,0.28751,-0.03545,-0.05198,-0.30027,-0.03636,
1642515324214215680,-0.09228,-0.35263,0.07265,0.95634,0.01669,0.28860,-0.04295,-0.02822,-0.31358,-0.03683,
1642515324280882432,-0.09443,-0.37372,0.07083,0.95714,0.01652,0.28571,-0.04446,-0.03457,-0.31847,-0.03923,
1642515324347548928,-0.09673,-0.39678,0.06857,0.95802,0.01522,0.28153,-0.05197,-0.02228,-0.33900,-0.02153,
1642515324480882432,-0.10009,-0.44133,0.06728,0.95711,0.01098,0.28424,-0.05503,-0.03018,-0.34165,0.00135,
1642515324580882432,-0.10420,-0.47579,0.06828,0.95749,0.00789,0.28238,-0.05847,-0.03915,-0.33946,0.02235,
1642515324747549184,-0.11198,-0.53038,0.07319,0.95744,0.01243,0.28247,-0.05800,-0.04294,-0.30845,0.01979,
1642515324780882432,-0.11263,-0.53978,0.07346,0.95651,0.01464,0.28644,-0.05322,-0.03435,-0.29767,0.01384,
1642515324847548928,-0.11455,-0.56007,0.07643,0.95606,0.01599,0.28841,-0.05009,-0.02520,-0.25834,-0.00145,
1642515324947548928,-0.11839,-0.58635,0.07488,0.95577,0.01372,0.28791,-0.05854,-0.02198,-0.25812,-0.01531,
1642515325047548928,-0.11955,-0.61213,0.07340,0.95504,0.01410,0.29044,-0.05784,-0.00238,-0.27545,-0.01341,
1642515325180882176,-0.11854,-0.64930,0.07501,0.95376,0.01804,0.29440,-0.05777,-0.01514,-0.30201,-0.01832,
1642515325247549184,-0.12038,-0.66914,0.07365,0.95391,0.01891,0.29383,-0.05792,-0.03807,-0.31536,-0.02554,
1642515325347548928,-0.12611,-0.70334,0.07141,0.95400,0.01855,0.29394,-0.05597,-0.06325,-0.35360,-0.03225,
1642515325447548928,-0.13276,-0.74137,0.06704,0.95310,0.01943,0.29694,-0.05519,-0.07453,-0.41005,-0.03756,
1642515325547548928,-0.14241,-0.78438,0.06311,0.95268,0.01813,0.29971,-0.04745,-0.12138,-0.42327,-0.04710,
1642515325647548928,-0.15566,-0.82611,0.05939,0.95290,0.00976,0.29896,-0.05005,-0.12976,-0.43534,-0.03687,
1642515325747549184,-0.16839,-0.86940,0.05657,0.95235,0.00686,0.30156,-0.04528,-0.13274,-0.43500,-0.02431,
1642515325847548928,-0.18258,-0.91266,0.05451,0.95212,0.00437,0.30254,-0.04380,-0.13942,-0.41860,-0.02060,
1642515326080882432,-0.21013,-1.00958,0.04817,0.95207,0.01286,0.30136,-0.05077,-0.08731,-0.38688,-0.03001,
