dataset,sequence,metric,unit,best_method,best_value,best_modality,best_metric_type,best_paper,best_table,n_methods
DSEC,average,ATE,cm,DEIO,164.5,E+I,metric,DEIO,IX,6
DSEC,city04_a,ARE,deg,ES-PTAM,3.17,Stereo E,metric,ESVO2,VI,6
DSEC,city04_a,ATE,cm,ESVO2,56.17,Stereo E+I,metric,ESVO2,VI,9
DSEC,city04_a,RPE_R,deg/s,ES-PTAM,0.53,Stereo E,metric,ESVO2,VII,6
DSEC,city04_a,RPE_t,cm/s,ESVO2,16.98,Stereo E+I,metric,ESVO2,VII,8
DSEC,city04_b,ARE,deg,ESVIO,1.38,Stereo E+F+I,metric,ESVO2,VI,6
DSEC,city04_b,ATE,cm,Stereo-DEVO,17.65,Stereo E,metric,Stereo-DEVO,II,9
DSEC,city04_b,RPE_R,deg/s,ESVO2,0.43,Stereo E+I,metric,ESVO2,VII,6
DSEC,city04_b,RPE_t,cm/s,Stereo-DEVO,13.56,Stereo E,metric,Stereo-DEVO,II,8
DSEC,city04_c,ARE,deg,ES-PTAM,6.02,Stereo E,metric,ESVO2,VI,6
DSEC,city04_c,ATE,cm,DEIO,413.8,E+I,metric,DEIO,IX,9
DSEC,city04_c,RPE_R,deg/s,ESVO2,0.55,Stereo E+I,metric,ESVO2,VII,6
DSEC,city04_c,RPE_t,cm/s,Stereo-DEVO,34.39,Stereo E,metric,Stereo-DEVO,II,8
DSEC,city04_d,ARE,deg,ESIO,3.63,Stereo E+I,metric,ESVO2,VI,5
DSEC,city04_d,ATE,cm,DEIO,207.6,E+I,metric,DEIO,IX,9
DSEC,city04_d,RPE_R,deg/s,ESVO2,0.41,Stereo E+I,metric,ESVO2,VII,5
DSEC,city04_d,RPE_t,cm/s,ESVO2,18.0,Stereo E+I,metric,ESVO2,VII,8
DSEC,city04_e,ARE,deg,ESVO2,3.54,Stereo E+I,metric,ESVO2,VI,6
DSEC,city04_e,ATE,cm,ESVO2,52.94,Stereo E+I,metric,ESVO2,VI,8
DSEC,city04_e,RPE_R,deg/s,ES-PTAM,0.25,Stereo E,metric,ESVO2,VII,6
DSEC,city04_e,RPE_t,cm/s,ES-PTAM,14.05,Stereo E,metric,ESVO2,VII,6
DSEC,city04_f,ARE,deg,ESVO2,5.0,Stereo E+I,metric,ESVO2,VI,6
DSEC,city04_f,ATE,cm,ESVO2,257.75,Stereo E+I,metric,ESVO2,VI,6
DSEC,city04_f,RPE_R,deg/s,ESVO2,0.38,Stereo E+I,metric,ESVO2,VII,6
DSEC,city04_f,RPE_t,cm/s,ESVO2,20.05,Stereo E+I,metric,ESVO2,VII,6
DSEC,city09_a,ATE,cm,Stereo-DEVO,196.97,Stereo E,metric,Stereo-DEVO,II,4
DSEC,city09_a,RPE_t,cm/s,Stereo-DEVO,15.73,Stereo E,metric,Stereo-DEVO,II,4
DSEC,city09_b,ARE,deg,ES-PTAM,1.75,Stereo E,metric,ESVO2,VI,4
DSEC,city09_b,ATE,cm,ESVO2,87.83,Stereo E+I,metric,ESVO2,VI,7
DSEC,city09_b,RPE_R,deg/s,ES-PTAM,0.17,Stereo E,metric,ESVO2,VII,4
DSEC,city09_b,RPE_t,cm/s,ESVO2,17.84,Stereo E+I,metric,ESVO2,VII,7
DSEC,city09_c,ATE,cm,Stereo-DEVO,931.15,Stereo E,metric,Stereo-DEVO,II,5
DSEC,city09_c,RPE_t,cm/s,Stereo-DEVO,273.98,Stereo E,metric,Stereo-DEVO,II,5
DSEC,city09_d,ATE,cm,Stereo-DEVO,564.33,Stereo E,metric,Stereo-DEVO,III,5
DSEC,city09_d,RPE_t,cm/s,Stereo-DEVO,39.38,Stereo E,metric,Stereo-DEVO,II,5
DSEC,city09_e,ATE,cm,Stereo-DEVO,246.26,Stereo E,metric,Stereo-DEVO,II,6
DSEC,city09_e,RPE_t,cm/s,Stereo-DEVO,36.49,Stereo E,metric,Stereo-DEVO,III,6
DSEC,city11_a,ARE,deg,ESVO2,1.85,Stereo E+I,metric,ESVO2,VI,5
DSEC,city11_a,ATE,cm,Stereo-DEVO,47.56,Stereo E,metric,Stereo-DEVO,II,7
DSEC,city11_a,RPE_R,deg/s,ESVO2,0.3,Stereo E+I,metric,ESVO2,VII,5
DSEC,city11_a,RPE_t,cm/s,Stereo-DEVO,10.32,Stereo E,metric,Stereo-DEVO,II,7
DSEC,city11_b,ARE,deg,ESIO,3.13,Stereo E+I,metric,ESVO2,VI,4
DSEC,city11_b,ATE,cm,Stereo-DEVO,282.06,Stereo E,metric,Stereo-DEVO,II,5
DSEC,city11_b,RPE_R,deg/s,ESVO2,0.45,Stereo E+I,metric,ESVO2,VII,4
DSEC,city11_b,RPE_t,cm/s,ESVO2,14.83,Stereo E+I,metric,ESVO2,VII,5
ECD (DAVIS240C),average,MPE,%,DEIO,0.06,E+I,metric,DEIO,I,19
ECD (DAVIS240C),boxes_6dof,MPE,%,DEIO,0.05,E+I,metric,DEIO,I,24
ECD (DAVIS240C),boxes_6dof,MRE,deg/m,KLT-VIO,0.03,F+I,metric,EVIO (Zhu),1,6
ECD (DAVIS240C),boxes_translation,MPE,%,DPVO,0.02,F,up-to-scale,DEIO,I,24
ECD (DAVIS240C),boxes_translation,MRE,deg/m,KLT-VIO,0.01,F+I,metric,EVIO (Zhu),1,6
ECD (DAVIS240C),dynamic_6dof,MPE,%,DEIO,0.04,E+I,metric,DEIO,I,24
ECD (DAVIS240C),dynamic_6dof,MRE,deg/m,KLT-VIO,0.05,F+I,metric,EVIO (Zhu),1,6
ECD (DAVIS240C),dynamic_translation,MPE,%,DEIO,0.06,E+I,metric,DEIO,I,24
ECD (DAVIS240C),dynamic_translation,MRE,deg/m,EVIO (Zhu),0.02,E+I,metric,EVIO (Zhu),1,6
ECD (DAVIS240C),hdr_boxes,MPE,%,DEVO,0.06,E,up-to-scale,DEIO,I,24
ECD (DAVIS240C),hdr_boxes,MRE,deg/m,Ultimate-SLAM (Fr+E+I),0.03,E+F+I,metric,Ultimate SLAM,I,6
ECD (DAVIS240C),hdr_poster,MPE,%,DEIO,0.06,E+I,metric,DEIO,I,24
ECD (DAVIS240C),hdr_poster,MRE,deg/m,Ultimate-SLAM (E+I),0.04,E+I,metric,Ultimate SLAM,I,6
ECD (DAVIS240C),poster_6dof,MPE,%,DEIO,0.08,E+I,metric,DEIO,I,24
ECD (DAVIS240C),poster_6dof,MRE,deg/m,Ultimate-SLAM (Fr+E+I),0.07,E+F+I,metric,Ultimate SLAM,I,6
ECD (DAVIS240C),poster_translation,MPE,%,DEIO,0.04,E+I,metric,DEIO,I,24
ECD (DAVIS240C),poster_translation,MRE,deg/m,KLT-VIO,0.01,F+I,metric,EVIO (Zhu),1,6
ECD (DAVIS240C),shapes_6dof,MPE,%,Ultimate-SLAM (Fr+E+I),0.1,E+F+I,metric,Ultimate SLAM,I,6
ECD (DAVIS240C),shapes_6dof,MRE,deg/m,Ultimate-SLAM (Fr+E+I),0.04,E+F+I,metric,Ultimate SLAM,I,6
ECD (DAVIS240C),shapes_translation,MPE,%,Ultimate-SLAM (Fr+E+I),0.26,E+F+I,metric,Ultimate SLAM,I,6
ECD (DAVIS240C),shapes_translation,MRE,deg/m,KLT-VIO,0.04,F+I,metric,EVIO (Zhu),1,6
ECD (keypoint pose),@10deg,AUC,%,SuperEvent,35.8,E (keypoints),up-to-scale,SuperEvent,2,4
ECD (keypoint pose),@20deg,AUC,%,SuperEvent,46.7,E (keypoints),up-to-scale,SuperEvent,2,4
ECD (keypoint pose),@5deg,AUC,%,SuperEvent,22.7,E (keypoints),up-to-scale,SuperEvent,2,4
EDS,all_chars,ATE,cm,DEVO,10.76,E,up-to-scale,DEIO,VI,7
EDS,all_chars,MPE,%,DEVO,0.16,E,up-to-scale,DEVO,4,4
EDS,average,ATE,cm,RAMP-VO,14.55,E+F,up-to-scale,DEIO,VI,6
EDS,peanuts_dark,ATE,cm,RAMP-VO,1.2,E+F,up-to-scale,DEIO,VI,7
EDS,peanuts_dark,MPE,%,DPVO,0.12,F,up-to-scale,DEVO,4,4
EDS,peanuts_light,ATE,cm,RAMP-VO,9.03,E+F,up-to-scale,DEIO,VI,7
EDS,peanuts_light,MPE,%,DPVO,0.44,F,up-to-scale,DEVO,4,4
EDS,peanuts_run,ATE,cm,RAMP-VO,13.19,E+F,up-to-scale,DEIO,VI,7
EDS,peanuts_run,MPE,%,ORB-SLAM3,0.19,F,up-to-scale,DEVO,4,4
EDS,rocket_dark,ATE,cm,RAMP-VO,7.2,E+F,up-to-scale,DEIO,VI,7
EDS,rocket_dark,MPE,%,DEVO,0.32,E,up-to-scale,DEVO,4,4
EDS,rocket_light,ATE,cm,DEIO,15.41,E+I,metric,DEIO,VI,7
EDS,rocket_light,MPE,%,ORB-SLAM3,1.79,F,up-to-scale,DEVO,4,4
EDS,ziggy,ATE,cm,DEIO,10.39,E+I,metric,DEIO,VI,7
EDS,ziggy,MPE,%,DEVO,0.15,E,up-to-scale,DEVO,4,4
EDS,ziggy_flying,ATE,cm,DEIO,3.84,E+I,metric,DEIO,VI,7
EDS,ziggy_flying,MPE,%,DEVO,0.71,E,up-to-scale,DEVO,4,4
EDS,ziggy_hdr,ATE,cm,DEVO,22.82,E,up-to-scale,DEIO,VI,7
EDS,ziggy_hdr,MPE,%,DEVO,0.36,E,up-to-scale,DEVO,4,4
EDS (keypoint pose),@10deg,AUC,%,SuperEvent,26.4,E (keypoints),up-to-scale,SuperEvent,3,4
EDS (keypoint pose),@20deg,AUC,%,SuperEvent,40.1,E (keypoints),up-to-scale,SuperEvent,3,4
EDS (keypoint pose),@5deg,AUC,%,SuperEvent,15.2,E (keypoints),up-to-scale,SuperEvent,3,4
HKU (stereo),agg_flip,ATE,cm,ORB-SLAM3,14.0,Stereo F+I,metric,DEVO,3,7
HKU (stereo),agg_flip,MPE,%,DEIO,0.2,E+I,metric,DEIO,III,16
HKU (stereo),agg_flip,MRE,deg/m,ESVIO,0.12,Stereo E+F+I,metric,ESVIO,I,8
HKU (stereo),agg_rotation,ATE,cm,DEVO,3.58,E,up-to-scale,DEVO,3,7
HKU (stereo),agg_rotation,MPE,%,DPVO,0.04,F,up-to-scale,DEIO,III,16
HKU (stereo),agg_rotation,MRE,deg/m,ESVIO,0.015,Stereo E+F+I,metric,ESVIO,I,7
HKU (stereo),agg_translation,ATE,cm,DEVO,4.03,E,up-to-scale,DEVO,3,7
HKU (stereo),agg_translation,MPE,%,DEVO,0.06,E,up-to-scale,DEIO,III,15
HKU (stereo),agg_translation,MRE,deg/m,ESVIO,0.016,Stereo E+F+I,metric,ESVIO,I,8
HKU (stereo),agg_walk,ATE,cm,ESVIO,27.0,Stereo E+F+I,metric,DEVO,3,4
HKU (stereo),agg_walk,MPE,%,EVI-SAM,0.26,E+F+I,metric,DEIO,III,12
HKU (stereo),agg_walk,MRE,deg/m,ESVIO,0.026,Stereo E+F+I,metric,ESVIO,I,5
HKU (stereo),average,MPE,%,ESVIO,0.14,Stereo E+F+I,metric,ESVIO,I,16
HKU (stereo),average,MRE,deg/m,ESVIO,0.033,Stereo E+F+I,metric,ESVIO,I,8
HKU (stereo),dark_normal,MPE,%,DEVO,0.06,E,up-to-scale,DEIO,III,11
HKU (stereo),dark_normal,MRE,deg/m,ESVIO,0.015,Stereo E+F+I,metric,ESVIO,I,6
HKU (stereo),hdr_agg,ATE,cm,ESVIO,10.0,Stereo E+F+I,metric,DEVO,3,7
HKU (stereo),hdr_agg,MPE,%,DEIO,0.06,E+I,metric,DEIO,III,15
HKU (stereo),hdr_agg,MRE,deg/m,ESVIO,0.021,Stereo E+F+I,metric,ESVIO,I,7
HKU (stereo),hdr_circle,ATE,cm,PL-EVIO,6.8,E+F+I,metric,DEVO,3,7
HKU (stereo),hdr_circle,MPE,%,EVI-SAM,0.13,E+F+I,metric,DEIO,III,16
HKU (stereo),hdr_circle,MRE,deg/m,ESVIO,0.035,Stereo E+F+I,metric,ESVIO,I,8
HKU (stereo),hdr_dark_normal,ATE,cm,DEVO,6.19,E,up-to-scale,DEVO,3,5
HKU (stereo),hdr_dark_normal,MPE,%,DEVO,0.06,E,up-to-scale,DEVO,3,5
HKU (stereo),hdr_slow,ATE,cm,DEVO,4.95,E,up-to-scale,DEVO,3,7
HKU (stereo),hdr_slow,MPE,%,DEIO,0.07,E+I,metric,DEIO,III,14
HKU (stereo),hdr_slow,MRE,deg/m,VINS-Fusion,0.026,Stereo F+I,metric,ESVIO,I,7
HKU (stereo),hdr_tran_rota,ATE,cm,DEVO,5.91,E,up-to-scale,DEVO,3,7
HKU (stereo),hdr_tran_rota,MPE,%,DEVO,0.08,E,up-to-scale,DEIO,III,14
HKU (stereo),hdr_tran_rota,MRE,deg/m,ESVIO,0.018,Stereo E+F+I,metric,ESVIO,I,7
MVSEC,average,MPE,%,DEIO,0.34,E+I,metric,DEIO,VII,10
MVSEC,indoor_flying1,ARE,deg,ESVO2,1.69,Stereo E+I,metric,ESVO2,VI,6
MVSEC,indoor_flying1,ATE,cm,Stereo-DEVO,3.76,Stereo E,metric,Stereo-DEVO,II,14
MVSEC,indoor_flying1,MPE,%,DPVO,0.16,F,up-to-scale,DEVO,7,10
MVSEC,indoor_flying1,MRE,deg/m,PL-EVIO,0.11,E+F+I,metric,ESVIO,II,6
MVSEC,indoor_flying1,RPE_R,deg/s,ESVO2,0.98,Stereo E+I,metric,ESVO2,VII,6
MVSEC,indoor_flying1,RPE_t,cm/s,Stereo-DEVO,3.73,Stereo E,metric,Stereo-DEVO,II,8
MVSEC,indoor_flying2,ARE,deg,ESVO2,4.53,Stereo E+I,metric,ESVO2,VI,4
MVSEC,indoor_flying2,ATE,cm,DPVO,6.3,F,up-to-scale,DEVO,7,12
MVSEC,indoor_flying2,MPE,%,DPVO,0.15,F,up-to-scale,DEVO,7,8
MVSEC,indoor_flying2,MRE,deg/m,ESVIO,0.11,Stereo E+F+I,metric,ESVIO,II,5
