key,short,authors,venue,year,cite,proposed_method,color
ULTIMATE_SLAM,Ultimate SLAM,Vidal et al.,RAL,2018,1709.06310,Ultimate SLAM,8B4513
ZHU_EVIO,EVIO (Zhu),Zhu et al.,CVPR,2017,Zhu2017,EVIO,A0522D
EDS,EDS,Hidalgo-Carrio et al.,CVPR,2022,Hidalgo2022,EDS,2E8B57
PLEVIO,PL-EVIO,Guan et al.,TASE,2024,PLEVIO2024,PL-EVIO / PL-EIO,1F77B4
ESVIO,ESVIO,Chen et al.,RAL,2023,2212.13184,ESVIO / ESIO,9467BD
ESVO,ESVO,Zhou et al.,TRO,2021,2007.15548,ESVO,17BECF
ESVO2,ESVO2,Niu et al.,arXiv/TRO,2024,2410.09374,ESVO2,E377C2
DEVO,DEVO,Klenk et al.,3DV,2024,2312.09800,DEVO,FF7F0E
DEIO,DEIO,Guan et al.,ICCV,2025,2411.03928,DEIO,D62728
SUPEREVENT,SuperEvent,Burkhardt et al.,arXiv,2025,2504.00139,OKVIS2+SuperEvent,7F7F7F
STEREO_DEVO,Stereo-DEVO,Zhong et al.,RAL,2025,2509.08235,Stereo-DEVO,BCBD22
